,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,PramodK61613422,Rojgar Do,,10,1,336,47,"हम national trend में हैं सभी साथी tweets करते रहें, जल्द ही पहले पर भी होगा। 
#9अक्टूबर_लखनऊ_चलो",['9अक्टूबर_लखनऊ_चलो']
1,ArvindDhatkar1,Society,,93,13,1124,2,"#9अक्टूबर_लखनऊ_चलो
#9अक्टूबर_लखनऊ_चलो https://t.co/qVKQbnowSp","['9अक्टूबर_लखनऊ_चलो', '9अक्टूबर_लखनऊ_चलो']"
2,rashtradip,,india,117,65,514,24,"साथियों मान्यवर कांशीराम साहब के सम्मान में कोई लापरवाही बिल्कुल नहीं चलेगी 
 शाम5 बजे के लिए सभी लोग तैयार रहे 
#9अक्टूबर_लखनऊ_चलो
#9अक्टूबर_लखनऊ_चलो
@Kush_voice @amita_ambedkar @Archana_voice @surendrak0 @ArjunSi78048480 @AashiAmbedkar @KumarSudeshArya @Shivmangalgautm https://t.co/THQh7oJbaC",[]
3,rashtradip,,india,117,65,514,44,"देश के संसद पर एक दिन नीला झंडा लहराना है। मान्य०कांशीराम साहब 
#9अक्टूबर_लखनऊ_चलो",['9अक्टूबर_लखनऊ_चलो']
4,GautamNirvesh,,,356,95,23,19,"आप सभी लोग तैयार रहें हैं माननीया बहनजी का स्वागत करने के लिए....
#9अक्टूबर_लखनऊ_चलो
@Mayawati जी
@bspindia
@samyak_samaj https://t.co/iZwKjBa9KI",['9अक्टूबर_लखनऊ_चलो']
5,Sandeep81032525,,,2171,1617,25934,1,"मै लखनऊ पहुंच गया हु। बस सुबह का इंतजार है,
आप कब पहुँचोगे।।।

#9अक्टूबर_लखनऊ_चलो https://t.co/wLbSNREPPU",['9अक्टूबर_लखनऊ_चलो']
6,AnkitPa28124322,Director of Royal Kurmi Samaj,,20,13,53,1,#9अक्टूबर_लखनऊ_चलो,['9अक्टूबर_लखनऊ_चलो']
7,ChetanVankar10,chetan,,505,186,9101,7,मान्यवर साहब तेरा मिशन अधूरा हम सब मिलकर करेंगे पूरा जय भीम जय बसपा #9अक्टूबर_लखनऊ_चलो https://t.co/M5tDsAaEhw,['9अक्टूबर_लखनऊ_चलो']
8,Jayprakashparg7,आदिवासी परिवार dpr,,329,128,191,2,"#9अक्टूबर_लखनऊ_चलो
#9अक्टूबर_लखनऊ_चलो https://t.co/qVKQbnowSp","['9अक्टूबर_लखनऊ_चलो', '9अक्टूबर_लखनऊ_चलो']"
9,AnjuGrover15,FRIEND ♥️♥️,Bighana (Jind)🤠😎😎,2223,1997,4011,12,"शोषित समाज को शासक बनाने वाले बहुजन नायक मान्यवर साहब कांशीराम जी के परिनिर्वाण दिवस पर उन्हें शत शत नमन 
🙏🙏💐💐💙💙
#जयभीम #नमोबुद्धाय
#BharatRatnaForKanshiRamJi
#मान्यवर_कांशीराम_अमर_रहे 
#9अक्टूबर_लखनऊ_चलो
#DAP_खाद_उपलब्ध_कराओ https://t.co/4StieVtVnX",['जयभीम']
10,Rohitas05891696,@बहुजन_समाज_पार्टी🇪🇺,Aligarh,123,85,559,0,"@satishmisrabsp @Mayawati @bspindia @pankajjha_ @Prashantps100 @IMinakshiJoshi @bstvlive @ndtvindia @brajeshlive @TOILucknow @aditytiwarilive @DharamVeerChBSP @faizankhanbsp 🙏🙏सभी साथी ट्विटर पर जाए और ट्वीट करे👇 
#9अक्टूबर_लखनऊ_चलो https://t.co/r2lb9WjqZI",['9अक्टूबर_लखनऊ_चलो']
11,VirendSaket,"Indian political, economically, chemistry analytics",,4864,3233,127328,19,"जागते रहो, चमचो से सावधान:मान्यवर काशीराम जी। 
#9अक्टूबर_लखनऊ_चलो",['9अक्टूबर_लखनऊ_चलो']
12,YuviGautam5,,,225,35,603,10,"टॉप ट्रेंड कर रहे हैं हम , थोड़ी और जोड़ लगानी हैं। एक नम्बर पे लाना हैं...
#9अक्टूबर_लखनऊ_चलो https://t.co/HQMr8qESJn",['9अक्टूबर_लखनऊ_चलो']
13,Chandra31321209,jeet jaay gay hum tu agr Sangh hai,"Maharajganj, India",564,2016,52716,2,"#9अक्टूबर_लखनऊ_चलो
#9अक्टूबर_लखनऊ_चलो
#9अक्टूबर_लखनऊ_चलो
#9अक्टूबर_लखनऊ_चलो
#9अक्टूबर_लखनऊ_चलो","['9अक्टूबर_लखनऊ_चलो', '9अक्टूबर_लखनऊ_चलो', '9अक्टूबर_लखनऊ_चलो', '9अक्टूबर_लखनऊ_चलो', '9अक्टूबर_लखनऊ_चलो']"
14,PankajK11218506,kureel,,6,27,409,67,"कल मान्यवर श्री कांशीराम जी के 15वें परिनिर्वाण दिवस पर मा0 बहन सुश्री मायवती जी मान्यवर साहब को श्रद्धांजलि अर्पित करेंगीं।
#9अक्टूबर_लखनऊ_चलो
@satishmisrabsp https://t.co/NL2pPu5XKI",[]
15,ManSing83920252,"बसपा युवानेता  जिला - शयोपुर मध्यप्रदेश


Danso - जिलाध्यक्ष छात्रसंघ",,3899,2316,2575,41,"मान्यवर कांशीराम साहब के बाद अगर कोई मेरा आदर्श नेता है तो वो सिर्फ और सिर्फ आदरणीय बहन @Mayawati जी हैं 

#9अक्टूबर_लखनऊ_चलो",[]
16,AtulWan14008293,व्यवस्था परिवर्तन,Khamgaon Maharashtra,132,76,1441,260,"कल मान्यवर श्री कांशीराम जी के 15वें परिनिर्वाण दिवस पर मा0 बहन सुश्री @Mayawati जी मान्यवर साहब को श्रद्धांजलि अर्पित करेंगीं।
#9अक्टूबर_लखनऊ_चलो
@bspindia https://t.co/EUage1JfUK",[]
17,sanjeshsinghbu1,apana dipak swam bano,"Sanand, India",151,51,1819,260,"कल मान्यवर श्री कांशीराम जी के 15वें परिनिर्वाण दिवस पर मा0 बहन सुश्री @Mayawati जी मान्यवर साहब को श्रद्धांजलि अर्पित करेंगीं।
#9अक्टूबर_लखनऊ_चलो
@bspindia https://t.co/EUage1JfUK",[]
