,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,RohanDa56989347,"art, travel, technology",,166,3,138,19,"So Gobarbhakts, high on cow urine, are boycotting random companies &amp; cartoon characters for dumb reasons. But how many bhakts will boycott dairy industry for its merciless treatment of cows &amp; buffaloes?
#BoycottFabIndia #boycottSuperman #ShameonYouCeatTyres #AntiIndiaSuperman https://t.co/PImPoZjd5c",[]
1,crazyman7790,"God have mercy on my Soul
When my Heart turns cold",India,1207,333,19432,3393,"#BoycottFabIndia @FabindiaNews 

Every RT is knock on the door, make it count https://t.co/i86ZMQnIuq",['BoycottFabIndia']
2,crazyman7790,"God have mercy on my Soul
When my Heart turns cold",India,1207,333,19432,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
3,kunzite9,life is important to be taken seriously..........,,725,639,27220,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
4,Pc91589189,"Proud Indian. Proud Hindu. Respect other religions but hate appeasement and conversion. Modi Bhakt. BJP supporter. 
|| जननी जन्मभूमिश्च स्वर्गादपि गरीयसी ||",भारत (India),94,11,2902,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
5,rajssk05,Hindu research,,14,24,1855,651,"मेरे साथ कौन-कौन लिख रहा है।
    #BoycottFabIndia",['BoycottFabIndia']
6,RajToma57293319,,,7,4,309,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
7,deepak7898,जय श्री राम🙏🏻,नई दिल्ली,430,79,486,651,"मेरे साथ कौन-कौन लिख रहा है।
    #BoycottFabIndia",['BoycottFabIndia']
8,thelightt45,"A falcon of God 🕊️

Retweets are not endorsements",,355,70,628,1,"Returned after a few days on twitter. I'm Justing apalled with the hate that has exponentially increased here. How do y'all sleep at night with this sh!t in minds- 
#BoycottFabIndia #Boycottceattyers #NoBindiNoBusiness #BoycottShahRukhKhan","['BoycottFabIndia', 'Boycottceattyers', 'NoBindiNoBusiness', 'BoycottShahRukhKhan']"
9,shamimadada,I live for the day when the promised land will b free from the clutches of Zionist apartheid Israel,Cape town,2500,1113,56493,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
