,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,niftyoptionchn,"Trading options only on the basis of data and price action. Learn with data and earn 80% accuracy
Telegram @niftyoptionchn 
Instagram / Twitter @niftyoptionchn","Chennai, India",81,3,115,6,"#Reject_Zomato #HindiIsNotNationalLanguage @deepigoyal
you are doing business in TAMILNADU and earn money from us WHY AVOID TAMIL https://t.co/tVHwm31zEJ","['Reject_Zomato', 'HindiIsNotNationalLanguage']"
1,TamilnaduLive,Belongs to Dravidian Stock,"Chennai, India",125,30,1867,64,"@deepigoyal #RejectZomato
#HindiIsNotNationalLanguage 

That's it 🤷🏻‍♂️
No More arguments 🤷🏻‍♂️
No more Tension 🤷🏻‍♂️
Simple 🤷🏻‍♂️ https://t.co/iEoqaE42xr","['RejectZomato', 'HindiIsNotNationalLanguage']"
2,MRubinaparveen,,"Tamil Nadu, India",88,3,84,0,#HindiIsNotNationalLanguage,['HindiIsNotNationalLanguage']
3,martin_santha,I am a catholic Priest,,30,23,123,136,"சொமோட்டோவால் மீண்டும் உயிர்தெழுந்த #Hindi_Theriyathu_poda  

#SunNews | #Reject_Zomato | #HindiIsNotNationalLanguage | @zomato https://t.co/Su7zfBaguf","['Hindi_Theriyathu_poda', 'SunNews', 'Reject_Zomato', 'HindiIsNotNationalLanguage']"
4,Anand05612836,"தன்னரசு நாட்டு கள்ளன் 🔰
அம்பலம் 
மேலநாட்டு அம்பலம் 
மதுரை💥❤",,493,126,793,4,"இந்திய சுதந்திரத்திற்காக போராடி துரோகத்தால் உயிர்நீத்த தமிழர் மாவீரர் வாளுக்கு வேலி அம்பலம் 

#வாளுக்குவேலிஅம்பலம்வீரவணக்கநாள்

#HindiIsNotNationalLanguage https://t.co/sgSYX3V7ji",[]
5,arun_sherkhane,,"Latur, India",262,98,3296,2,"If they have so problem with #Hindi then do they work in #tamil language at @isro @NASA #AIIMS @amazon #SiliconValley  
#HindiIsNotNationalLanguage https://t.co/WwqEENiDT3","['Hindi', 'tamil', 'AIIMS', 'SiliconValley']"
6,mtharun2499,Surya fan,"Bengaluru South, India",167,17,610,0,"Daii enna da India ippadi hindi ya katutu aluringa pogaley 
#Hindi_Theriyathu_Poda 
#HindiIsNotNationalLanguage 
#Reject_Zomato","['Hindi_Theriyathu_Poda', 'HindiIsNotNationalLanguage', 'Reject_Zomato']"
7,Anand05612836,"தன்னரசு நாட்டு கள்ளன் 🔰
அம்பலம் 
மேலநாட்டு அம்பலம் 
மதுரை💥❤",,493,126,793,9,"#HindiIsNotNationalLanguage

#வாளுக்குவேலிஅம்பலம்வீரவணக்கநாள் https://t.co/yg4t08In2h","['HindiIsNotNationalLanguage', 'வாளுக்குவேலிஅம்பலம்வீரவணக்கநாள்']"
8,arvind4nitkkr,#NITian,Chennai ,45,65,334,914,"Gentle reminder to @zomato and all , Hindi is not our national language !
#Reject_Zomato .

#HindiIsNotNationalLanguage
 #stopHindiImposition #Hindi_Theriyathu_Poda #Thamizh_Therilana_VeliyaPoda https://t.co/t6udHYvOnJ","['Reject_Zomato', 'HindiIsNotNationalLanguage']"
9,bheemeshp,ತಂತ್ರಾಂಶ ಅಭಿಯಂತರರು,Honnali,55,388,56901,16,"None of Karnataka, Maha and WB are against Hindi (Imposition) it seems.
And who from developed cities in South India want to go to Lucknow or Bihar for jobs? 😂
Propoganda getting exposed in broad day light
#stopHindiImposition #HindiIsNotNationalLanguage #Hindi_Imposition https://t.co/cUYsIy5fJX",[]
