,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Snmishr51449415,PG Td College,Udh,158,223,25315,1,"#stophindugenocide 
#Kashmiriyat_Kills_Hindus https://t.co/ay33m6Nmwg","['stophindugenocide', 'Kashmiriyat_Kills_Hindus']"
1,shreedhana94,ग्रंथ हे एक मार्गदर्शक!,,63,28,569,32,"In last few days, Pakistan-sponsored jihadi terrorists have killed 5 innocent civilians in Kashmir and most of them are Hindus and Sikh. 

We urge @HMOIndia &amp; @JmuKmrPolice to take strong steps to annihilate jihadi terrorists to #StopHinduGenocide !

#Kashmiriyat_kills_Hindus https://t.co/V7Ovg32AUp",[]
2,KirtiMa60248306,,"Pune, India",6,3,248,24,"#Kashmiriyat_kills_Hindus

😡 Wouldn't those who say that terrorists have no color or religion now have no words❓️

#StopHinduGenocide https://t.co/biB83HEOKB",['Kashmiriyat_kills_Hindus']
3,KirtiMa60248306,,"Pune, India",6,3,248,19,"😡हंस के लिया पाकिस्तान अब घुसकर लेंगे हिंदुस्तान हे मानसिकता रखकर अलगाववादी नेता काश्मीर से हिन्दुओ के साथ अत्याचार कर रहे है!
🌀 जागो हिंन्दु जागो🌀 #Kashmiriyat_Kills_Hindus https://t.co/cRCEDNgWLy",[]
4,Monikaksho,,,24,0,130,258,"In last few days, Pakistan-sponsored jihadi terrorists have killed 5 innocent civilians in Kashmir and most of them are Hindus and Sikh. 

We urge @HMOIndia &amp; @JmuKmrPolice to take strong steps to annihilate jihadi terrorists to #StopHinduGenocide !

#Kashmiriyat_kills_Hindus https://t.co/QfmugjBe2Q",[]
5,Monikaksho,,,24,0,130,226,"Kashmiriyat is nothing but silently forced Shariyat !!!
@Abhishek_Mshra
@KapilMishra_IND
@MeenaDasNarayan

#Kashmiriyat_kills_Hindus 
#StopHinduGenocide https://t.co/6INrwvixCW",[]
6,Monikaksho,,,24,0,130,203,"In 1941: 10 lakh Kashmiri Hindus were 15% of the population of Kashmir

In 1991 : Kashmiri Hindus reduced to 10K, remained only 0.1%

This Hindu Genocide has not ended even today,

Hindus are being selectively murdered continuessly

#Kashmiriyat_kills_Hindus

#StopHinduGenocide https://t.co/5KH4hpiaO3",[]
7,Monikaksho,,,24,0,130,259,"Kashmiriyat is silent Shariyat !!
First Terrorists asked for identities,
Muslim staff asked To go out,
Then...
Jihadis brutally killed Hindu teacher &amp; Sikh Principal of school. 
@vinod_bansal @TapasNiyama
@priyaakulkarni2

#StopHinduGenocide
#Kashmiriyat_kills_Hindus https://t.co/Wqv1Dynapb",[]
8,Monikaksho,,,24,0,130,141,"हाल ही में आतंकियों द्वारा की गई हत्याओं से वापस कश्मीर का रुख करने वाले विस्थापितों में डर का माहौल है। अलगाववादी कभी नहीं चाहते कि कश्मीर में अल्पसंख्यक हिंदू और सिख रहें। इसलिए वे आतंकवादियों के साथ मिलकर खून-खराबा करा रहे हैं।

#Kashmiriyat_kills_Hindus
#StopHinduGenocide",[]
9,Monikaksho,,,24,0,130,174,"एक विस्थापित कश्मीरी पंडित ने कहा कि राज्य सरकार द्वारा कश्मीरी पंडितों को घर वापसी करा और उनकी छीनी गई संपत्ति का दावा करने के लिए शुरू की गई मुहिम से कट्टरपंथी बौखला गए हैं। वो नहीं चाहते कि विस्थापित कश्मीरी पंडित अपनी पुरानी संपत्तियों पर दावा करें।

#Kashmiriyat_Kills_Hindus",[]
