,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,ilovemybhrat,Fun Loving straight guy,"Sohna, India",30,10,142,0,@SRKianSaiba @su_uday @naushadsrkian_ @iamsrk @KRITIKAQUEEN2 @Ziyawritex @naaaaz06 @samasrk1 @iamsrk_brk @JoySRKian_2 @Afreen2siddiqui @AimAn_tweets_ It's a narrative Beta. Do you have any proof that it's being done by Modi. People like you are responsible for making this a national matter. ARYAN behind the bars is more beneficial for your propganda. So why can't nationalist folks have their own Propaganda. #SRK_का_बेटा_नशेड़ी,['SRK_का_बेटा_नशेड़ी']
1,ShantanuAmbedkr,"pronouns? use हिंदी.

पालने से ले कर शय्या तक, आरक्षण जीवी भव😉

previously @nasadiya

Enjoying low cut off caste reservation for generations.

I follow back.",JaiBhimistan 🇮🇳,826,113,6366,0,Jo Mundra port Adani Adani chillate rehte hain unke liye #SRK_का_बेटा_नशेड़ी #IStandWithSRK https://t.co/BGsOX2ibnt https://t.co/G0rmEfHpaT,"['SRK_का_बेटा_नशेड़ी', 'IStandWithSRK']"
2,ShantanuAmbedkr,"pronouns? use हिंदी.

पालने से ले कर शय्या तक, आरक्षण जीवी भव😉

previously @nasadiya

Enjoying low cut off caste reservation for generations.

I follow back.",JaiBhimistan 🇮🇳,826,113,6366,0,बाप एसिड अटैक पीड़ितो को सहायता दे रहा था और बेटा एसिड पी कर मस्त था #SRK_का_बेटा_नशेड़ी https://t.co/NP77HpHLNK,['SRK_का_बेटा_नशेड़ी']
3,my_lyff,|धर्मो रक्षति रक्षितः|BRAND OWNER|CONTENT CREATOR | AN AUTHOR ✍️  |DREAM-BHARAT HINDU RASHTRA🚩  |NATIONALIST 💯 |MECHANICAL ENGINEER |JUSTICE FOR SUSHANT 🌟 |,"भारत ( हिन्दू राष्ट्र ) 

🇮🇳",3858,1898,35080,567,"#ShahRukhKhan conditions right now in NCB office to save his druggie son #AryanKhan

 #SRK_का_बेटा_नशेड़ी https://t.co/6OMn8LZ2HN","['ShahRukhKhan', 'AryanKhan', 'SRK_का_बेटा_नशेड़ी']"
4,Dhindaws11,,,58,2,164,0,#SRK_का_बेटा_नशेड़ी #SRK BYJU's PROMOTER SRK's SON ARYAN IS IN JAIL ! BLOODY DRUG ADDICT OF BOLLYWOOD ! 😀😇😷👎 SHAME ON DRUGYWOOD = BOLLYWOOD ! 😍😡👎 #SRK #PTI #CNNNews18 PMO India ABP News Aaj Tak NDTV https://t.co/EqtYcGHufj,"['SRK_का_बेटा_नशेड़ी', 'SRK', 'SRK', 'PTI', 'CNNNews18']"
5,yapragun,"A Patriot of HINDUSTHAN 🇮🇳

Jay Shri Radhe Krishna!🙏🙏
 
DM/Mass Tagging!😈
Libbies, Seculars should stay away😡, RT's are not endorsements.
Foodie!",BRAHMAAND,1891,4569,187994,1,"बीबी, अगर AssRके  #SRK_का_बेटा_नशेड़ी जवाब दे दे तो बताना जरूर!🤷😁😁
#2कौड़ीकीस्वरा https://t.co/1KyHEHfOM0","['SRK_का_बेटा_नशेड़ी', '2कौड़ीकीस्वरा']"
6,tyagiashi36,Cheers To Life 🍻🍷🍺,Jaipur,567,257,580,0,#NoBail4AryanKhan #onlyjail #SameerWakhende - you are the real hero now we are not interested to see such fake reel peoples. #SatyamevJayate #AryanKhanDruggie #Facebook #SRK_का_बेटा_नशेड़ी #ncbindia #NCB,"['NoBail4AryanKhan', 'onlyjail', 'SameerWakhende', 'SatyamevJayate', 'AryanKhanDruggie', 'Facebook', 'SRK_का_बेटा_नशेड़ी', 'ncbindia', 'NCB']"
7,Saro01991,Progress,,31,0,48,2,"People must take inspiration from Achievers but not from Druggies and also ignore them
 #SRK_का_बेटा_नशेड़ी #AryaanKhan #ShahRukhKhan https://t.co/XnEhvzPq7s","['SRK_का_बेटा_नशेड़ी', 'AryaanKhan']"
8,Saro01991,Progress,,31,0,48,68,"Teacher and Student 
 #SRK_का_बेटा_नशेड़ी #AryaanKhan #ShahRukhKhan https://t.co/5cgzAYcphe","['SRK_का_बेटा_नशेड़ी', 'AryaanKhan', 'ShahRukhKhan']"
9,mirza5152,,,390,184,40403,5,"#gujarati #gujarati_whatsapp_group_link 
#SRK_का_बेटा_नशेड़ी #AryanKhan #AryanKhanArrested #indianmemes 
#IndianCricketTeam #zoomtv #DurgaPuja2021 #DrugsCase #Listen_to_SurrahAlrehman 
How to listen Suraah Al Rehman in Gujarati language https://t.co/nlf0c0QZJJ","['gujarati', 'gujarati_whatsapp_group_link', 'SRK_का_बेटा_नशेड़ी', 'AryanKhan', 'AryanKhanArrested', 'indianmemes', 'IndianCricketTeam']"
