,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Bharat29833962,"simple living, high thinking.
bhartiya।RSS Supporter.Nationalist.",,132,128,6864,4342,"इससे कहते है करारा जवाब। 
#ShameonYouCeatTyres https://t.co/riCQD4XMLO",['ShameonYouCeatTyres']
1,nationalist9727,,,136,12,2478,919,"Trending 1st . Everyone is Boycotting Aamir Khan 

#ShameonYouCeatTyres https://t.co/ekQXuzLs1Z",['ShameonYouCeatTyres']
2,VinayKu26612542,"🕉️Patriot/Hard-liner'Hindu'🙏Thanks for following.Impartial.Reasonableness,Brooding,Science,Literature,Irony,Spirituals,Jokes.
No tag.🚩 Jai Dada Parashuramji.","🌷Gkp.Prayag,Modi's""NewIndia""⛺",14337,14956,25320,2487,"आमिर खान जिस ब्रांड का विज्ञापन करता है , मैं उस ब्रांड के सभी प्रोडक्ट का बहिष्कार करता हूँ 

#ShameonYouCeatTyres",['ShameonYouCeatTyres']
3,KamleshSuntha,,,162,31,4501,4342,"इससे कहते है करारा जवाब। 
#ShameonYouCeatTyres https://t.co/riCQD4XMLO",['ShameonYouCeatTyres']
4,ketan_pat_,"Hospitality , VP Development, Past BOD AAHOA , Past Exe BOD LPS (USA) , Past President of GSB , Past BOD KHLA , Team @incvolunteers_","Kentucky,USA ",3551,3663,77492,38,"First they will boycott Superman 😂 
Then they will boycott a car's tyre. 

Andhbhakts ban kese jaate hai log? 🤔🤔🤔

#ShameonYouCeatTyres 🤣🤣🤣 https://t.co/cM8WH7w0ah",[]
5,Rambabu03447033,,,359,119,228,1177,"हाँ तो सब लोग लिखो
#ShameonYouCeatTyres",['ShameonYouCeatTyres']
6,Bharat29833962,"simple living, high thinking.
bhartiya।RSS Supporter.Nationalist.",,132,128,6864,16,"#ShameonYouCeatTyres
इससे कहते है करारा जवाब। 

#राजगुरु
#ShameonYouCeatTyres https://t.co/jHFzZKM4Sx","['ShameonYouCeatTyres', 'राजगुरु', 'ShameonYouCeatTyres']"
7,tanujsingh203,"आर एस एस 
केराकत जौनपुर उत्तर प्रदेश","Jaunpur, India",172,73,1129,17,"हिंदु धर्म का मजाक किसी भी सूरत में नही स्वीकार है  !
I SAPPORT THIS TREND 
RT MAXIMUM

#ShameonYouCeatTyres https://t.co/peaseWg7zS",['ShameonYouCeatTyres']
8,NeerajR93804930,,,142,3,77,4342,"इससे कहते है करारा जवाब। 
#ShameonYouCeatTyres https://t.co/riCQD4XMLO",['ShameonYouCeatTyres']
9,lakshiv,,,253,63,3327,1,"लिखते रहो मित्रों ताकी कल ही जब ceat कम्पनी का मैनेजर ट्वीटर एकाउंट खोले तो उसके पैंट खुल जाए..!!

 #ShameonYouCeatTyres",['ShameonYouCeatTyres']
