,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,TanmayS55193616,yatodharmasya tatojayah...,,1096,332,80265,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
1,Rustin_Durden,,,592,27,15565,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
2,SmrithiSreenivs,"UNAPOLOGETIC HINDU... NATIONALIST 🚩🚩🚩... IF U TREAT ME GOOD, I'LL TREAT U BETTER, IF U TREAT ME BAD, I'LL TREAT U WORSE...",,444,404,33028,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
3,DeepakA73146315,,,528,31,3266,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
4,FilmWalah,,India,99,204,9402,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
5,aditya_tyagi,,,224,84,2866,12,"#BoycottDCComics
#HinduphobicRacism
#StandWithKashmirPandits
#StopHinduGenocide
@DCComics keep your racist nose out of Kashmir. https://t.co/l5byTVnUWJ","['BoycottDCComics', 'HinduphobicRacism', 'StandWithKashmirPandits', 'StopHinduGenocide']"
6,talktoavi,Engineer| IIT | Banker,"New York, USA",488,91,20127,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
7,ParthoDas_,Twitter is a place for propaganda,,401,40,8913,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
8,Divyansh_M_ARYA,"सनातन वैदिक आर्य, संवैधानिक विधि का विद्यार्थी, दार्शनिक साहित्य,वाद्य संगीत एवं सिनेमा का अनुरागी।दक्षिण भारतीय संस्कृति एवं भोजन से मोहित।
Relentless Seeker","Kanpur, India",251,97,363,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
9,AdityakiJ,Live let live,"Kolkata, India",807,12,3941,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
10,BhaktSwVvknnda,"Bhakta of Sri Rama, Swami Vivekananda and Sri Sri Ravi Shankar. RTs are not endorsements. Gyan for the now at https://t.co/wE06p5L5xT",,5002,601,155857,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
11,hindubangal,Hindu হিন্দু हिन्दू,,4824,857,23354,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
12,RanbirS11414092,"Researcher, Writer, activist for Hindus and pagans political analyst critiquing the left/right race western narratives,
MA History SOAS (Uni of London)",,285,444,30947,12,"#BoycottDCComics
#HinduphobicRacism
#StandWithKashmirPandits
#StopHinduGenocide
@DCComics keep your racist nose out of Kashmir. https://t.co/l5byTVnUWJ","['BoycottDCComics', 'HinduphobicRacism', 'StandWithKashmirPandits', 'StopHinduGenocide']"
13,kamalnawariya,,Delhi,793,179,26001,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
14,_6_kumar_6_,I'm DEAD on June 2014,buried in 💀 BURIAL GROUND 💀 ,143,18,3983,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
15,hanaraya2,,"Fremont, CA",1648,252,3090,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
16,DPrasad0X27,"Analyst || Engineer || Entrepreneur ll 

In Koo app",India,121,16,2814,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
17,rajivnayan7,"तन मन धन प्राण चढ़ाएँगे, इसका मान बढ़ाएँगे!
जग का सौभाग्य सितारा है! यह भारत हमारा है!

वन्दे मातरम् |  -RT's Not Endorsement",भारत माता की जय,2062,2258,566155,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
18,Shampoo_B0y,स्वधर्मे निधनं श्रेयः परधर्मो भयावहः,Bharat,1381,989,155886,1,#StopHinduGenocide https://t.co/zCocxACNS4,['StopHinduGenocide']
19,SatishP_dr,"Proud Bharatiya, Plastic Surgeon, Tech in Medicine, Mountaineer, observe/comment on things that matter",INDIA,1976,430,81132,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
20,RajeshKumar_TT,"Programmer, Learner, Seeker, Mentor of all things technology","London, England",406,81,836,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
21,sudharadhika123,,,111,111,69647,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
22,navneetthakur99,"Prefer Sarcasmics over Orgasmics pseudo intellectuals, pseudo journalist, pseudo secular and pseudo liberals. Retweets are not endorsement.",India,465,209,87945,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
23,AbhayPundir001,Student.Bhartiya.Hindu,"Saharanpur, India",61,10,3309,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
24,bharatincanada,,,232,67,1541,0,"Pushpita Gupta is on Hunger strike in front of Bangladeshi Embassy in London UK, to protest against Hindu Genocide in Bangladesh. Paid Media will not cover this. Please retweet and make her famous 
#SaveBangladeshiHindus 
#StopHinduGenocide 
#BangladeshTempleAttack https://t.co/QhYzISUwXK","['SaveBangladeshiHindus', 'StopHinduGenocide', 'BangladeshTempleAttack']"
25,Vishnuraj212,,,21,11,2302,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
26,rajesh_mawaliya,"श्रीराम से बड़ा कोई नाम नहीं
 श्री हनुमान से बड़ा कोई भक्त नहीं श्री राम का |

और मैं भक्त दोनों का",,4980,611,50650,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
27,HareshVithlani,RTs = retweets = interesting and not endorsement. Views are personal,India,14657,17599,136621,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
28,rishi_iitr,Financial Analyst,Gurgaon,402,583,223391,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
29,jai_jai_shivay,Am Hindu & proudly say we are the world's first civilizations ! ಧರ್ಮೋ ರಕ್ಷಿತ ರಕ್ಷಿತಃ 🕉,"Bengaluru, India",357,813,16984,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
30,vikas2397,"Proud Indian, Proud Hindu, The only person on Twitter who doesn’t claim to be a social media guru.","Bengaluru, India",1122,1122,85097,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
31,NirastraBhawah,binge watching clouds! 🌦🌹🌅,Dexter's laboratory,2849,4669,93318,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
32,HinduismMyPride,Retweets Are Not Endorsements. Views Personal. Jai Hind 🇮🇳🇮🇳 🇮🇱🇮🇱, Akhand Bharat Varsh ,206,439,151359,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
33,suhas_g_k,,,93,28,37139,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
34,ShettySurendra,,,611,549,50794,1,@ShekharGupta @anusharavi10 Also Shed some tears for Kashmiri Hindus living on 'Roads' because some peacefuls threw them out and captured their homes and shops #KashmiriHindus #StopHinduGenocide,[]
35,Gigahertz211,"A foodie , New football enthusiast :P , Hacker , TechLover , Quiet placid kinda guy, Nationalist, Right-wing :))))",Qatar,481,104,4261,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
36,MudraPost,"Mudra Post provides you the business plans and strategies through  study and analysis of the Company, Traders, and Investors that led to their success.","Pune, India",71,6,117,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
37,BodasMakrand,"Human (not a Bot) | Inquisitive | Logical | No Followers , Following None",,0,0,46,1,@ShekharGupta @anusharavi10 Also Shed some tears for Kashmiri Hindus living on 'Roads' because some peacefuls threw them out and captured their homes and shops #KashmiriHindus #StopHinduGenocide,"['KashmiriHindus', 'StopHinduGenocide']"
38,itz_me_tamim,,,25,0,1,0,"কয়েকজন মানুষের করা খারাপ আর জঘন্য কাজটির জন্য,
সম্পূর্ন জাতিকে দোষারোপ করা ঠিক হচ্ছে  বলে আমার মনে হয় না।

কয়েকজনের ভুলের জন্য শাস্তি পাচ্ছে সব হিন্দুরা।
সবার মন মানসিকতা এক না।

গাছের একটা ফল খারাপ হলে তো আর সব ফলকে খারাপ বলা যায় না।
#StopHinduGenocide",['StopHinduGenocide']
39,MadnessHoney,Twitter is an alternate universe where truth unfolds instantly. Good bye paid media & propaganda machines..,Cuckoo Land,1004,334,123158,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
40,lifebegetsliffe,"RT ≠ Endorsment
#Thalaivii Releasing soon",,198,334,62086,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
41,ukBiswas,"Rightist, albeit quite a bit familiar with the leftist modus operandi. Interested in #tech #politics #news #film #books #mythology","Boston, MA",630,461,6725,385,"""Then came the provocative announcements over loudspeakers from at least three mosques. And as in rest of Bangladesh, Rangpur was burned down too""

#SaveBangladeshiHindus 
#StopHinduGenocide https://t.co/yFbtTnbtOZ",[]
