,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,bhsingh007,,,47,10,314,13,"जो लोग कहते हैं लड़ाई ग्राउंड पर होनी चाहिए उनके लिए एक सुनहरा अवसर 
22 अक्टूबर 2021 को आ जाये... 
#NPSनिजीकरणभारतछोड़ो 
🚶🚶*पदयात्रा*🚶🚶 में",['NPSनिजीकरणभारतछोड़ो']
1,bhsingh007,,,47,10,314,30,"जिस देश मे स्कूल की फीस माफ नहीं होती उस देश मे उद्द्योगपतियों के कर्ज माफ किए जाते हैं।
#NPSनिजीकरणभारतछोड़ो https://t.co/SVfb3HcaA9",['NPSनिजीकरणभारतछोड़ो']
2,INFORRK,,"Vaishali, India",371,668,66316,25,"इस ट्वीट को
जिसने भी RT किया उसे फोलो कर लिया है 🙏

#पुरानी_पेंशन_बहाल_करो 
#पुरानी_पेंशन_लागू_करो 
#RestoreOldPension 
#NPS_QUIT_INDIA 
#NPSनीजीकरणभारतछोड़ो https://t.co/VsU2U4ehL6","['पुरानी_पेंशन_बहाल_करो', 'पुरानी_पेंशन_लागू_करो', 'RestoreOldPension']"
3,Akhiles77243781,"पवित्रता, धैर्य और दृढ़ता ये तीनों सफलता के लिए आवश्यक है लेकिन इन सबसे ऊपर प्यार है।",,50,11,73,16,"हौंसले के तरकश में ,
कोशिश का वो तीर ज़िंदा रख।।
हार जा चाहे ज़िन्दगी में सब कुछ ,
मगर फिर से जीतने की उम्मीद ज़िंदा रख।।
#पुरानी_पेंशन_लागू_करो
#NPSनिजीकरणभारतछोड़ो 
#NPS_QUIT_INDIA
#NPSहटाओOPSलागूकरो 
#RestoreOldPension @myogioffice @myogiadityanath @PMOIndia","['पुरानी_पेंशन_लागू_करो', 'NPSनिजीकरणभारतछोड़ो', 'NPS_QUIT_INDIA', 'NPSहटाओOPSलागूकरो', 'RestoreOldPension']"
4,SnehLat31725324,"पेंशन विहीन कर्मचारी ,
एक ही लक्ष्य-पुरानी पेंशन।
follow करके unfollow करने वाले कृपया दूर रहें।",,759,927,4196,27,"#𝑹𝒆𝒔𝒕𝒐𝒓𝒆𝑶𝒍𝒅𝑷𝒆𝒏𝒔𝒊𝒐𝒏
एक श्रीफल और एक चादर !
सेवा अंत यही होगा आदर !!
ना कोई ग्रेच्युटी ना पेंशन !
जिंदगी निकलेगी विद टेंशन !!
#पुरानी_पेंशन_बहाल_करो 
#NPSनीजीकरणभारतछोड़ो https://t.co/ucI8mFL852",['𝑹𝒆𝒔𝒕𝒐𝒓𝒆𝑶𝒍𝒅𝑷𝒆𝒏𝒔𝒊𝒐𝒏']
5,SnehLat31725324,"पेंशन विहीन कर्मचारी ,
एक ही लक्ष्य-पुरानी पेंशन।
follow करके unfollow करने वाले कृपया दूर रहें।",,759,927,4196,34,"एक देश,एक विधान,
पेंशन भी हो एक समान।।
पेंशन मेरा अधिकार.....

#RestoreOldPension #NPS_QUIT_INDIA #NPSनीजीकरणभारतछोड़ो #NPS_से_आजादी #पुरानी_पेंशन_बहाल_करो #पुरानी_पेंशन_लागू_करो #WeWantOldPension 
@CMMadhyaPradesh @PMOIndia @mpfinancedep @FinMinIndia @twtamp @OfficeOfKNath","['RestoreOldPension', 'NPS_QUIT_INDIA', 'NPSनीजीकरणभारतछोड़ो']"
6,SnehLat31725324,"पेंशन विहीन कर्मचारी ,
एक ही लक्ष्य-पुरानी पेंशन।
follow करके unfollow करने वाले कृपया दूर रहें।",,759,927,4196,41,"आप NPS के दौर में सरकारी नौकरी पर लगे,इसमें हरगिज आपकी गलती नही है

लेकिन आप NPS के साथ ही रिटायर्ड हूए, तो सौ फिसदी गलती आपकी ही होगी
😡😡😡😡😡😡😡
कॉपी पेस्ट
#पुरानी_पेंशन_बहाल_करो 
#NPS_QUIT_INDIA 
#NPSनिजीकरणभारतछोड़ो 
#NPSहटाओOPSलागूकरो 
@PMOIndia",[]
7,im_surya_29,bio not complete yet....see you later 💐,India,347,253,10773,4,"सहयोग व प्यार एक बहुत ही महंगी चीज़ है,
       इसकी हर किसी से उम्मीद न रखें
              क्योकि,
बहुत ही कम लोग दिल
       के धनवान होते है।
#शुभ_प्रभात 
#NPSनिजीकरणभारतछोड़ो 
#ops 
@pantlp 
@NPSEFR 
@im_surya_29
 @im_surya_29",[]
8,SKukanwali,GOVERNMENT TEACHER,nagour,477,673,2287,4,"सहयोग व प्यार एक बहुत ही महंगी चीज़ है,
       इसकी हर किसी से उम्मीद न रखें
              क्योकि,
बहुत ही कम लोग दिल
       के धनवान होते है।
#शुभ_प्रभात 
#NPSनिजीकरणभारतछोड़ो 
#ops 
@pantlp 
@NPSEFR 
@im_surya_29
 @im_surya_29","['शुभ_प्रभात', 'NPSनिजीकरणभारतछोड़ो', 'ops']"
9,DamorUdesing5,,,5006,1993,20179,16,#NPSनिजीकरणभारतछोड़ो @PMOIndia @AmitShahOffice https://t.co/cyWkZGYvhc,['NPSनिजीकरणभारतछोड़ो']
