,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Chaurasiya94P,Happy,"Gorakhpur, India",42,4,256,11,"@suryapsingh_IAS @StudentpowerITI @ptshrikant @myogiadityanath @myogioffice @jayantrld 
#stopuppclprivatisation_save_govt_job 
#UPPCLLineman4102PostBahalKaro 
#अंधेर_नगरी_चौपट_योगीराज",[]
1,SumitKrMaurya1,jaan laga do aur Jane he na do 💯 follow back,,71,60,3520,11,"@suryapsingh_IAS @StudentpowerITI @ptshrikant @myogiadityanath @myogioffice @jayantrld 
#stopuppclprivatisation_save_govt_job 
#UPPCLLineman4102PostBahalKaro 
#अंधेर_नगरी_चौपट_योगीराज",[]
2,shubham95801813,,,4,28,998,11,"@suryapsingh_IAS @StudentpowerITI @ptshrikant @myogiadityanath @myogioffice @jayantrld 
#stopuppclprivatisation_save_govt_job 
#UPPCLLineman4102PostBahalKaro 
#अंधेर_नगरी_चौपट_योगीराज",[]
3,ShivNar00963433,student,,121,41,1310,11,"@suryapsingh_IAS @StudentpowerITI @ptshrikant @myogiadityanath @myogioffice @jayantrld 
#stopuppclprivatisation_save_govt_job 
#UPPCLLineman4102PostBahalKaro 
#अंधेर_नगरी_चौपट_योगीराज",[]
4,ltU2mccTtLEX7cW,2021 ago,,133,111,5024,11,"@suryapsingh_IAS @StudentpowerITI @ptshrikant @myogiadityanath @myogioffice @jayantrld 
#stopuppclprivatisation_save_govt_job 
#UPPCLLineman4102PostBahalKaro 
#अंधेर_नगरी_चौपट_योगीराज",[]
5,RishikeshRsing1,Every thing that we want that we get,,110,52,828,11,"@suryapsingh_IAS @StudentpowerITI @ptshrikant @myogiadityanath @myogioffice @jayantrld 
#stopuppclprivatisation_save_govt_job 
#UPPCLLineman4102PostBahalKaro 
#अंधेर_नगरी_चौपट_योगीराज",[]
6,jeetuKu24105524,,,35,10,1308,11,"@suryapsingh_IAS @StudentpowerITI @ptshrikant @myogiadityanath @myogioffice @jayantrld 
#stopuppclprivatisation_save_govt_job 
#UPPCLLineman4102PostBahalKaro 
#अंधेर_नगरी_चौपट_योगीराज",[]
7,SudhirM13240584,Jai hind,,58,45,1938,11,"@suryapsingh_IAS @StudentpowerITI @ptshrikant @myogiadityanath @myogioffice @jayantrld 
#stopuppclprivatisation_save_govt_job 
#UPPCLLineman4102PostBahalKaro 
#अंधेर_नगरी_चौपट_योगीराज",[]
8,anandraw1234,Student,Ayodhya,44,20,435,11,"@suryapsingh_IAS @StudentpowerITI @ptshrikant @myogiadityanath @myogioffice @jayantrld 
#stopuppclprivatisation_save_govt_job 
#UPPCLLineman4102PostBahalKaro 
#अंधेर_नगरी_चौपट_योगीराज",[]
9,AKPal44230298,ITI Student Power,,912,491,46278,11,"@suryapsingh_IAS @StudentpowerITI @ptshrikant @myogiadityanath @myogioffice @jayantrld 
#stopuppclprivatisation_save_govt_job 
#UPPCLLineman4102PostBahalKaro 
#अंधेर_नगरी_चौपट_योगीराज",[]
10,NitinPadhan2,ELECTRICAL ENGINEER,,212,256,21023,11,"@suryapsingh_IAS @StudentpowerITI @ptshrikant @myogiadityanath @myogioffice @jayantrld 
#stopuppclprivatisation_save_govt_job 
#UPPCLLineman4102PostBahalKaro 
#अंधेर_नगरी_चौपट_योगीराज","['stopuppclprivatisation_save_govt_job', 'UPPCLLineman4102PostBahalKaro', 'अंधेर_नगरी_चौपट_योगीराज']"
