,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,tajindersinghn1,सच्चा देश भक्त,"Delhi, India",367,92,1353,23,"किसान से पार पाना या टकराना भाजपा की सदी की सबसे बड़ी भूल होगी।
#किसान_हत्यारी_भाजपा https://t.co/GtIaCW6Z28",['किसान_हत्यारी_भाजपा']
1,kaurav_avinash,"बड़ी बातें सोचो ,  तेज सोचो ,  दूसरों से पहले सोचो क्योंकि कोई  दूसरा  आपके लिए  नहीं सोचने वाला","Gwalior, India",312,112,7978,16,"लखीमपुर में शहीद हुए किसानों को श्रद्धांजलि अर्पित करते हुए आम आदमी पार्टी किसान सेल के वरिष्ठ नेता आदरणीय महेंद्र सिंह जी
@DrSushilKrGupta @GajendraS64 @AamAadmiParty @RakeshTikaitBKU @manjeetkaur5071 @sakshi_aap 
#किसान_हत्यारी_भाजपा https://t.co/QkpB0yfxAA",[]
2,VinayYa73674832,🏂bhai ki 🤙jhalak sabse alag♥️,कालीन नगरी Bhadohi (UP) 66,267,102,251,2,"किसान जिधर झुकेगा सरकार उसी की बनेगी 
बाकी कोई कितनी भी कोशिश कर ले और है 3 काले कानून सरकार वापस ले
#किसान_नही_झुकेगा 
#किसान_बचेगा_तो_देश_बचेगा 
#किसानों_की_हत्यारी_भाजपा 
#किसान_दिल्ली_चलो #किसान_27को_भारतबंद_करेगे 
#किसान_हत्यारी_भाजपा",['किसान_नही_झुकेगा']
3,baljind09782731,"किसान,STOCK MARKET TRADER",patiala,137,1864,17781,41,"ਕਿਸਾਨਾਂ ਦੇ ਕਤਲੇਆਮ ਤੋਂ ਬਾਅਦ ਵੀ 
ਦੇਸ਼ ਦੀਆਂ ਸ਼ੜਕਾਂ ਸੁੰਨਸਾਨ ਨੇ..?

ਤਾਹੀਉ ਤਾਂ ਇਸ ਦੇਸ਼ ਦੀ 'ਸੰਸਦ' 
ਆਵਾਰਾ ਅਤੇ ਬਦਚਲਣ ਹੋ ਗਈ ..""!!

#किसान_हत्यारी_भाजपा #ArrestMurderer_MonuMishra https://t.co/A1C7BojE1R",[]
4,RamaSin24298825,"मेरे सीने में नहीं तेरे सीने में सही,
आग कहीं भी हो जलनी चाहिए !!
सिर्फ हंगामा खड़ा करना मेरा मकसद नहीं,
जिद ये है कि सूरत बदलनी चाहिए !!",,586,813,24604,23,"किसान से पार पाना या टकराना भाजपा की सदी की सबसे बड़ी भूल होगी।
#किसान_हत्यारी_भाजपा https://t.co/GtIaCW6Z28",['किसान_हत्यारी_भाजपा']
5,NadarShubhangi,Interior,,52,19,194,82,"'महाराष्ट्र बंद' ला उत्स्फुर्त प्रतिसाद !  शेतकरी विरोधी भाजपला धडकी भरवणारा बळीराजाचा एल्गार! शेतकर्‍यांवरचा अन्याय महाराष्ट्र कदापीही सहन करणार नाही!
@supriya_sule 

#महाराष्ट्रबंद 
#MaharashtraBand 
#किसान_हत्यारी_भाजपा 
#BJP_MassacredFarmers https://t.co/7XhPLAVtGX",[]
6,durgadas_AAP,सदस्य- SC ST वेलफेयर बोर्ड दिल्ली सरकार,"New Delhi, India",47,149,450,121,"मैं पहले से ही कह रहा हूं उत्तर प्रदेश में जंगलराज है।
लेकिन 2022 में इस जंगलराज का अंत निश्चित है।

#किसान_हत्यारी_भाजपा https://t.co/t9Y9DfGzOF",[]
7,YesRaj03427599,"अपने #कद का अंदाज़ा हमें भी है ..
हम परछाई देख कर #गुरूर नही करते !😎",,156,136,4168,0,"@myogiadityanath जूठे योगी जी हँसी नहीं आती अब आप भाजपा वालो के जुमलों पे  चपल आपने छोड़ी ह जनता के पेरो में भाजपा हटाओ देश बचाओ #किसान_हत्यारी_भाजपा 
#किसान_हत्यारी_भाजपासरकार 
#किसान_बचेगा_तो_देश_बचेगा https://t.co/P2YHhxXpOT https://t.co/jnU1Ve3QmP","['किसान_हत्यारी_भाजपा', 'किसान_हत्यारी_भाजपासरकार', 'किसान_बचेगा_तो_देश_बचेगा']"
8,tokeerkha,हर चीज उठायी जा सकती हे पर गिरी हुयी सोच नही,chandigarh ,439,121,614,1,"@myogiadityanath @UPGovt योगी मोदी हटेगा तभी देश प्रदेश बचेगा इनको हटाओ देश प्रदेश बचाओ #किसान_हत्यारी_भाजपा 
#किसान_हत्यारी_भाजपासरकार 
#किसान_बचेगा_तो_देश_बचेगा https://t.co/2fWHNalG1c https://t.co/PCAxyyG2nj",['किसान_हत्यारी_भाजपा']
9,YesRaj03427599,"अपने #कद का अंदाज़ा हमें भी है ..
हम परछाई देख कर #गुरूर नही करते !😎",,156,136,4168,1,"@myogiadityanath @UPGovt योगी मोदी हटेगा तभी देश प्रदेश बचेगा इनको हटाओ देश प्रदेश बचाओ #किसान_हत्यारी_भाजपा 
#किसान_हत्यारी_भाजपासरकार 
#किसान_बचेगा_तो_देश_बचेगा https://t.co/2fWHNalG1c https://t.co/PCAxyyG2nj","['किसान_हत्यारी_भाजपा', 'किसान_हत्यारी_भाजपासरकार', 'किसान_बचेगा_तो_देश_बचेगा']"
10,MariaSh48875615,,,17,26,189,82,"'महाराष्ट्र बंद' ला उत्स्फुर्त प्रतिसाद !  शेतकरी विरोधी भाजपला धडकी भरवणारा बळीराजाचा एल्गार! शेतकर्‍यांवरचा अन्याय महाराष्ट्र कदापीही सहन करणार नाही!
@supriya_sule 

#महाराष्ट्रबंद 
#MaharashtraBand 
#किसान_हत्यारी_भाजपा 
#BJP_MassacredFarmers https://t.co/7XhPLAVtGX",[]
11,DabuM29998094,,,2,8,612,2,"किसान जिधर झुकेगा सरकार उसी की बनेगी 
बाकी कोई कितनी भी कोशिश कर ले और है 3 काले कानून सरकार वापस ले
#किसान_नही_झुकेगा 
#किसान_बचेगा_तो_देश_बचेगा 
#किसानों_की_हत्यारी_भाजपा 
#किसान_दिल्ली_चलो #किसान_27को_भारतबंद_करेगे 
#किसान_हत्यारी_भाजपा",['किसान_नही_झुकेगा']
12,MadanRo78412409,,,8,5,2132,5,"...लखीमपुर खीरी में पीड़ित परिजनों से मिल उनके दर्द में शरीक हुए ...
@RahulGandhi
@priyankagandhi

तूफानों के धारे हों या आग का दरिया 
हम हर हाल में अपने लोगों के  दुःख में 
शरीक होंगें।
#किसान_हत्यारी_भाजपा 
#किसान_के_साथ_प्रियंका 
@INCSandesh @INCIndia @Anilcong90 @iPranavG https://t.co/mekbp8OPm1",[]
13,MadanRo78412409,,,8,5,2132,4,"..भाजपा में सत्य बोलने बालों व न्याय पसंद
लोगों के लिए कोई जगह नहीं ।
👉#लखमीपुर_खीरी_नरसंहार पर दोषी मंत्री पुत्र व गाड़ी मालिक की गिरफ्तारी की मांग 
करने पर ।
👉बीजेपी सांसद @varungandhi80 
व @Manekagandhibjp को भाजपा वर्किंग
कमेटी से निष्कासन की सजा ।
#किसान_हत्यारी_भाजपा",['लखमीपुर_खीरी_नरसंहार']
14,itsABHISHEKAU,"निष्पक्ष बेबाक आवाज 🙏
सत्यता मेरी पहचान है किसी की गुलामी करना सिखाया नही मां बाप ने 
संघर्ष जारी है कलेक्टर बनने का",India,315,345,252,2,"किसान जिधर झुकेगा सरकार उसी की बनेगी 
बाकी कोई कितनी भी कोशिश कर ले और है 3 काले कानून सरकार वापस ले
#किसान_नही_झुकेगा 
#किसान_बचेगा_तो_देश_बचेगा 
#किसानों_की_हत्यारी_भाजपा 
#किसान_दिल्ली_चलो #किसान_27को_भारतबंद_करेगे 
#किसान_हत्यारी_भाजपा","['किसान_नही_झुकेगा', 'किसान_बचेगा_तो_देश_बचेगा', 'किसानों_की_हत्यारी_भाजपा', 'किसान_दिल्ली_चलो', 'किसान_27को_भारतबंद_करेगे', 'किसान_हत्यारी_भाजपा']"
