,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,saurabhfunde,Business and Financial News,"बालाघाट, भारत",114,22,283,230,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
1,YParashari,,,1610,784,123157,230,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
2,AbulFajalLaska1,"🌸💙🇮🇳 सारे जहां से अच्छा हिंदुस्ता हमारा,🇮🇳💙🌸
Official Twitter Account of Abul Fajal Laskar 
🌴🕊️",India,2816,3159,52794,32,"कल देश के यशस्वी प्रधानमन्त्री @narendramodi बता रहे थे, कि देश लूटने वाले लोग कितने ही ताकतवर क्यों न हो, @BJP4India सरकार उन्हें छोड़ेगी नही ! 

अगर आप इतने ही ईमानदार हैं तो पनामा पैंडोरा जैसे खुलासों पर चुप क्यों हैं ?
कमीशन मिला है या हिस्सेदारी ?
#पुछता_है_भारत 

@PMOIndia",[]
3,MilanSopariwala,,,307,421,66488,3,"सोचने वाली बात क्रमांक १७१

अगर मस्जिद और चर्च निजी संपत्ति है, तो सरकार इनके मौलानाओ को सेलरी क्यों देती है .??
यदि मंदिर पब्लिक संपत्ति है तो सरकार पुजारियों को सेलेरी क्यों नही देती???
?????🙏🕉️🚩🇮🇳🚩🕉️🙏

*#पूछता_है_भारत ??*😴😨🤨",[]
4,Modiji21751552,"Iam a proud bharathiya, a follower of sanathana dharma ,a devastated hindu  after Munger firing",,171,138,6707,3,"सोचने वाली बात क्रमांक १७१

अगर मस्जिद और चर्च निजी संपत्ति है, तो सरकार इनके मौलानाओ को सेलरी क्यों देती है .??
यदि मंदिर पब्लिक संपत्ति है तो सरकार पुजारियों को सेलेरी क्यों नही देती???
?????🙏🕉️🚩🇮🇳🚩🕉️🙏

*#पूछता_है_भारत ??*😴😨🤨",[]
5,GambhiraPrasad,,,3988,910,2145,230,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
6,BinitaK17579532,Govr. Teacher,"Bihar, India",25,52,3842,1,"राजस्थान : होमवर्क नहीं किया तो 
टीचर ने लात-घूसों से पीटा, अस्पताल में छात्र की मौत
प्रियंका जी कब पहुंच रही हैं ??
#पूछता_है_भारत",[]
7,kntkerai,"🌹🙏 जय श्री स्वामीनारायण 🙏🇮🇳 जय हिंद वंदे मातरम 🙏🇮🇳🇮🇳🌹🌷
 NRI लेकिन दिल मे भारत माता 🇮🇳🇮🇳","Harrow, London Uk",5007,877,1067,23,"राजस्थान में 3500 के लगभग मदरसे है एक मदरसे को 25 लाख देंगे दिवाली बोनस तो इस हिसाब से 8 अरब 75 करोड़ रुपए हुए..!
मंदिरों को कितना दिए... #पूछता_है_भारत

हिंदुओं समझदार बनो और इस कोंग्रेस को पूरे भारत से समाप्त करो...!
🚩🙏",[]
8,Mb1qevVyv3jXyBs,जन जन की सेवा का संकल्प राजनीति दलितों पिछड़ों गरीबों मजदूर वर्ग की आवाज बुलन्द हो।सेवादल कांग्रेस कार्यकर्ता। सोशल वर्कर।समाजहित जनहित धर्म हित।देशहीत सर्वोपरि,"वाराणसी, उत्तर प्रदेश भारत",5002,2894,92444,230,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
9,SharafatAzmi10,"देश का छोटा किसान किसानों के लिए देश की वर्तमान सरकार से एम एस पी के लिए लड़ने वालों का साथी हूं
जय किसान जय किसान",,5002,1172,63003,230,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
10,deemannone,"Secular Ideology/Positive attitude/believes that HUMANITY above Everything and ONE GOD

#KisanEktaMorcha
#DigitalKisanMorcha 
#DigitalKisan 
#FarmersProtest","Modesto California, USA",5002,2354,7974,0,"#मोदीजी_कृपया_जवाब_दें
#पूछता_है_भारत    
कब मेहगायी खतम होगी https://t.co/MvaphggUwD","['मोदीजी_कृपया_जवाब_दें', 'पूछता_है_भारत']"
11,Pk_inc_india,|| Simple Man || Believes in Gandhi Ideology || Love @INCIndia ||,,1834,833,8596,0,@ShilpiSinghINC @umar_mehmud #पूछता_है_भारत,['पूछता_है_भारत']
12,Pk_inc_india,|| Simple Man || Believes in Gandhi Ideology || Love @INCIndia ||,,1834,833,8596,230,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
13,umar_mehmud,,,1354,758,16675,230,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
14,BotsHindi,"यह एक स्वचलित प्रोफाइल है 
जो कि कंप्यूटर प्रोग्राम के द्वारा आप सब की हिन्दी लिखित ट्वीट को रिट्वीट करके,आपके विचारों को अन्य लोगो तक पहुँचाता है। जय हिंद 🇮🇳",आपके शब्दों में ,1,15780,576153,3,"सोचने वाली बात क्रमांक १७१

अगर मस्जिद और चर्च निजी संपत्ति है, तो सरकार इनके मौलानाओ को सेलरी क्यों देती है .??
यदि मंदिर पब्लिक संपत्ति है तो सरकार पुजारियों को सेलेरी क्यों नही देती???
?????🙏🕉️🚩🇮🇳🚩🕉️🙏

*#पूछता_है_भारत ??*😴😨🤨",[]
15,dilipraichura,एकं लक्ष्यम GEN SURGEON & GYNEC. I PRAY I TREAT GOD CURES. MAY GOD BLESS ALL.I write what I think;what you understand is your problem.HINDU🚩,MUMBAI INDIA,4941,1983,60800,3,"सोचने वाली बात क्रमांक १७१

अगर मस्जिद और चर्च निजी संपत्ति है, तो सरकार इनके मौलानाओ को सेलरी क्यों देती है .??
यदि मंदिर पब्लिक संपत्ति है तो सरकार पुजारियों को सेलेरी क्यों नही देती???
?????🙏🕉️🚩🇮🇳🚩🕉️🙏

*#पूछता_है_भारत ??*😴😨🤨",['पूछता_है_भारत']
16,INCBANSAL,"STATE COORDINATER ( SOCIAL MEDIA )  HARYANA PRADESH CONGRESS SEVA DAL  EX. STATE GENERAL SECRETARY HARYANA PRADESH YOUTH CONGRESS 
TEAM DEEPENDER",,1816,10826,186187,19,"#देश की दलाल #मीडिया #बाँलीवुड मे
    #ढूंढ रही है ड्रक्स का #पुड़ीया ।
#सुरक्षित क्यों नहीं है देश की #गुड़िया ।
#पूछता_है_भारत !!!

@_Sweet_Parul_  @ARajesh_SP 
@yadavakhilesh  @kailashnathsp","['देश', 'मीडिया', 'बाँलीवुड', 'ढूंढ', 'पुड़ीया', 'सुरक्षित', 'गुड़िया']"
17,mdjavead70,"samajwadi vichaardhara


#Rt Aren't My Endorsements","Faizabad, India",10211,9969,138322,19,"#देश की दलाल #मीडिया #बाँलीवुड मे
    #ढूंढ रही है ड्रक्स का #पुड़ीया ।
#सुरक्षित क्यों नहीं है देश की #गुड़िया ।
#पूछता_है_भारत !!!

@_Sweet_Parul_  @ARajesh_SP 
@yadavakhilesh  @kailashnathsp","['देश', 'मीडिया', 'बाँलीवुड', 'ढूंढ', 'पुड़ीया', 'सुरक्षित', 'गुड़िया']"
18,naikravindra974,Jai Adiwasi jai johar,Lobhani.tal.taloda.nandurbar,2842,572,11584,230,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
19,Rajendra169657,"सीने में भगवा मुँह पे जय श्री राम, दिल में भारत और दिमाग में राष्ट्रभक्ति यही हैं मेरी पहचान 

 🚩 जय श्री राम।🚩
रिटायर्ड फौजी",,1609,1205,12727,0,"*अगर मस्जिद और चर्च निजी संपत्ति है, तो सरकार इनके मौलानाओ को सेलरी क्यों देती है .??*

*यदि मंदिर पब्लिक संपत्ति है तो सरकार पुजारियों को सेलेरी क्यों नही देती .......*

*#पूछता_है_भारत ??*

😴😴😴😨😨😨🤨🤨🤨",['पूछता_है_भारत']
20,ARajesh_SP,"Official A/C 🇮🇳🇮🇳
Always with @yadavakhilesh
Socialist Leader,
Social Activist, 
Akhileshian by ❤️
Views are personal",India,5926,34224,128077,19,"#देश की दलाल #मीडिया #बाँलीवुड मे
    #ढूंढ रही है ड्रक्स का #पुड़ीया ।
#सुरक्षित क्यों नहीं है देश की #गुड़िया ।
#पूछता_है_भारत !!!

@_Sweet_Parul_  @ARajesh_SP 
@yadavakhilesh  @kailashnathsp","['देश', 'मीडिया', 'बाँलीवुड', 'ढूंढ', 'पुड़ीया', 'सुरक्षित', 'गुड़िया']"
21,Yunus9585,"ऑल इंडिया वाहन चालक मालक महासंघ
उमरगा तालुका अध्यक्ष","Maharashtra, India",5003,4261,111730,2,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
22,chandet_ramesh,Teacher/social worker/Hindu,,91,31,1021,6,"अगर मस्जिद और चर्च निजी संपत्ति है, तो सरकार इनके मौलानाओ को सेलरी क्यों देती है... ?

यदि मंदिर पब्लिक संपत्ति है तो सरकार पुजारियों को सेलेरी क्यों नही देती... ??

#पूछता_है_भारत ?",[]
23,AtmaRam38340752,SENIOR TEACHER ENGLISH,"Gharsana, India",793,646,37040,230,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
24,Drvineetgarg65,"Sr PHYSICIAN ,CARDIOLOGIST, DIABETOLOGIST, GOLD MEDALIST owns PRIVATE HOSPITAL.
SERVING HUMANITY SERVING PATIENTS
PROUD HINDU PROUD NATIONALIST
!! जय श्रीराम !!",NATION FIRST- WANTS GR8 INDIA,4992,3702,247339,230,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
25,SKE_SJ,1962,"Kolkata, West Bengal",948,187,22081,20,"अगर 🕌 और ⛪ निजी संपत्ति है, तो 
सरकार इनके मौलानाओ को सेलरी क्यों देती है...??

यदि मंदिर पब्लिक संपत्ति है तो सरकार पुजारियों को सेलेरी क्यों नहीं देती.....???

#पूछता_है_भारत

😴😴😴😨😨😨🤨🤨🤨",[]
26,pareshsaini,"Don't Follow me if you want follow-back. You will not get follow back. 😀 I am not here to play follow-follow game. Thanks 

यदायदाहि धर्मस्य ग्लानिर्भवति भारत।","Indiana, USA",326,93,4517,20,"अगर 🕌 और ⛪ निजी संपत्ति है, तो 
सरकार इनके मौलानाओ को सेलरी क्यों देती है...??

यदि मंदिर पब्लिक संपत्ति है तो सरकार पुजारियों को सेलेरी क्यों नहीं देती.....???

#पूछता_है_भारत

😴😴😴😨😨😨🤨🤨🤨",[]
27,SumitAmbedkar14,"#student_of_psychology @AashiAmbedkar (sister )
👉
मौत का डर उन्हे लगे जिनके कर्मो मे दाग़ है
हम तो बाबा साहब के वंसज है
हमारे तो खून मे हीं आग है 🔥🔥
#जयभीम 🙏","Haryana, India",1954,4843,19478,230,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
28,RajeshS80158793,,,633,119,3059,0,"अगर 🕌 और ⛪ निजी संपत्ति है, तो 
सरकार इनके मौलानाओ को सेलरी क्यों देती है...??

यदि मंदिर पब्लिक संपत्ति है तो सरकार पुजारियों को सेलेरी क्यों नहीं देती.....???

#पूछता_है_भारत

😴😴😴😨😨😨🤨🤨🤨",['पूछता_है_भारत']
29,_TheRealYogi_,"Investor💰~ Ambedkarite 💙~Humanist 💖 ~ Nature lover 🌱 👉 Honesty is a very expensive gift. Don’t expect it from cheap people.” #Buffet 💕
#जयभीम 🙏🇮🇳","Mumbai, India",2722,5485,81960,230,"भुखमरी की भी वैक्सीन मिलेगी क्या?
🤔🤔🤔

#पूछता_है_भारत",['पूछता_है_भारत']
