,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,TejesviToor,Om namah shivay🙏...,,20,5,258,202,"I am with my real farmers, not with foolish and fake farmers like Rakesh Tikait.
#भारत_खुला_है https://t.co/bz1CbgHUuZ",['भारत_खुला_है']
1,TejesviToor,Om namah shivay🙏...,,20,5,258,185,"On the way to the High Court of Punjab and Haryana in Chandigarh. Markets are open, people are out of their daily routine.

Listen dacoit today is #भारत_खुला_है
Listen brokers today is #भारत_खुला_है
कान खोल कर सुनो #भारत_खुला_है 
@KR_Team_ https://t.co/zHjo6FrtMH",[]
2,SpeakUtkarsh,"Ex. कर्मचारी चयन आयोग (SSC), Ex. उत्तर प्रदेश अधीनस्थ सेवा चयन आयोग (UPSSSC) ||विचार और राय निजी|| 
||रीट्वीट सहमति नही|| No Dm🙏","Uttar Pradesh, India",3229,6172,219437,80,"भारत बंद करना इतना आसान नहीं रे डकैत!

बड़ी हंसी आ रही है...एक पंचर की दूकान बंद करने की औकात नहीं है बात करता है भारत बंद करने की।😝😛

#भारत_खुला_है",[]
3,TejesviToor,Om namah shivay🙏...,,20,5,258,337,"#भारत_खुला_है
R u agree 
So  Rt Rt . https://t.co/iXHf4vGqzE",['भारत_खुला_है']
4,TejesviToor,Om namah shivay🙏...,,20,5,258,282,"When people want everything #आज_भारत_बंद_है
#भारत_खुला_है then this happens https://t.co/Ylx5TxD94d","['आज_भारत_बंद_है', 'भारत_खुला_है']"
5,TejesviToor,Om namah shivay🙏...,,20,5,258,373,"Farmers are with Modi and 
Modi ji with real farmers
RT Only 🔁 #भारत_खुला_है https://t.co/6AnS2SR6te",['भारत_खुला_है']
6,TejesviToor,Om namah shivay🙏...,,20,5,258,147,I supput Modiji not fake farmers sitting on the boders of delhi. The real farmers are really happy with the farmers law and are thanking Modiji for it! #भारत_खुला_है https://t.co/vJThJTYa5K,[]
7,SyedIbr21736150,,,134,7,1112,2,"#RahulGandhi to all opposition after the failure of #BharatBandh &amp; trending #नाक_कटा_आया #RakeshTikait 
be like that👇😂😂🤪
#sunainaa r u feeling same?😂 
#farmerswithmodi 
#भारत_खुला_है 
#भारत_बन्द_नहीं_बुलंद_है https://t.co/hhMlJ1L9f5#भारत_खुला_है","['RahulGandhi', 'BharatBandh', 'नाक_कटा_आया', 'RakeshTikait']"
8,TejesviToor,Om namah shivay🙏...,,20,5,258,112,"My shop is open 😅 we all are with kishan not with congress. 
#भारत_खुला_है https://t.co/OVgLKvyRim",['भारत_खुला_है']
9,AmraramAshokDe1,I love mom dad,,29,1,60,730,"आखिर सोनिया जी के प्रिय चेले टिकैत ने सच बोल ही दिया... #भारत_खुला_है 

https://t.co/0PARQCiqKE",['भारत_खुला_है']
10,TejesviToor,Om namah shivay🙏...,,20,5,258,127,BOSS 💪#भारत_खुला_है https://t.co/Z7rHcKU24P,['भारत_खुला_है']
11,TejesviToor,Om namah shivay🙏...,,20,5,258,591,"The news of the failure of Bharat Bandh coming from every corner.

#भारत_खुला_है https://t.co/eZpEZgmoo5",['भारत_खुला_है']
12,TejesviToor,Om namah shivay🙏...,,20,5,258,194,"Well explained 😂👌
#भारत_खुला_है https://t.co/r6UFZdCemk",['भारत_खुला_है']
13,Honeysss007,"•Heart Belongs to Bareilly •❤• Soul of India🇮🇳•
Beauty Advisor 💅 •Interested In Politics• Supports @narendramodi.   @myogiadityanath @amitshah 👍",India,1035,473,7815,352,"Goons in the name of farmers, hooliganism in the name of protest!

Patients are suffering, a son is not able to reach his ailing mother, a daughter cannot attend her father's condolence meet.

To those supporting the Bandh, today it is them, tomorrow it can be you!

#भारत_खुला_है https://t.co/wcucMAytW6",[]
14,TejesviToor,Om namah shivay🙏...,,20,5,258,353,"Successfully completed Career Guidance Workshop.

 #भारत_खुला_है https://t.co/JWmbb1OWLT",['भारत_खुला_है']
15,TejesviToor,Om namah shivay🙏...,,20,5,259,4,"#भारत_खुला_है
Kisans are protesting with wearing sleeveless blouse and kurta 😜 https://t.co/p1c0zZM9A1",['भारत_खुला_है']
16,Gyani_12,"ना मुझे नाम चाहिये,
ना ही मुझे ईनाम चाहिए,
मुझे तो बस #भगवा से सजा,
पूरा #हिन्दुस्तान चाहिये...
जय जय श्री राम....🚩",,82,11,278,58,"The news of the failure of Bharat Bandh coming from every corner.

I am with my PM...❤️
#भारत_खुला_है 
#भारत_खुला_है https://t.co/9BxrrUmX0C","['भारत_खुला_है', 'भारत_खुला_है']"
17,Karan99828461,shree raam bhakt 🚩🚩👏,,133,101,3360,353,"Successfully completed Career Guidance Workshop.

 #भारत_खुला_है https://t.co/JWmbb1OWLT",['भारत_खुला_है']
18,TejesviToor,Om namah shivay🙏...,,20,5,259,2,"#भारत_खुला_है

Nehru's pillus always high on pappu mutra.... So they always ignore the media work for some pappu's biscuits. 

@Nher_who https://t.co/cMFWeGKFsg",['भारत_खुला_है']
19,Amitab35986032,"हिन्दु युवा मंच(छत्तीसगढ़ ), राष्ट्रीय स्वयंसेवक संघ 🚩🚩","Bhilai, India",232,138,4563,4,"ये  कभी लड़कर नहीं जीतते; ये आपको बांटेंगे, आपको विश्वास दिलाएंगे कि लड़ाई है ही नहीं या आप बिना लड़े ही हार चुके है या क्रूर दृश्य दिखाएगी कि भाग जाओ, नहीं तो तुम्हारा भी यही हाल होने वाला है; ये आपके नेताओं को ख़रीद लेंगे !!
तारीख़ गवाह है !!!

#भारत_खुला_है",[]
20,TejesviToor,Om namah shivay🙏...,,20,5,259,18,"#RakeshTikait
#भारत_खुला_है 
#RakeshTikait
The only truth about these Morons is all are anti-national and paid piddis of China 👊 https://t.co/PtdzcNb6aB","['RakeshTikait', 'भारत_खुला_है', 'RakeshTikait']"
21,Raghu59538834,Im a pakka indian,,14,3,4175,63,"डकैत प्रयागराज में पूरा भारत खुला है, पाकिस्तान बंद करा दिया क्या तुमने ?

#भारत_खुला_है https://t.co/fOXk8A5gkO",['भारत_खुला_है']
22,MadhuMalti4,,,73,24,8750,14,"भारत हमेशा खुला था है और रहेगा 

एक दिन दुकानें बंद होंगी तो  फ़र्ज़ी किसान नेताओं की और और देश के आम किसान के कंधे रखकर बंदूक़ चलाने वाले नेताओं की 

 #भारत_खुला_है",[]
23,ShriyashGaikwa1,,,23,0,42,0,We strongly support modi ji #भारत_खुला_है,['भारत_खुला_है']
24,TejesviToor,Om namah shivay🙏...,,20,5,259,4,"#भारत_खुला_है,#RakeshTikait 
One more Burnol moment for liberandus 😜 https://t.co/RlfJy0TT6s","['भारत_खुला_है', 'RakeshTikait']"
25,Raghu59538834,Im a pakka indian,,14,3,4175,62,"బందుకు నేను వ్యతిరేకం

#भारत_खुला_है https://t.co/9PWgA0yxxZ",['भारत_खुला_है']
26,Raghu59538834,Im a pakka indian,,14,3,4175,57,"Retweet And Repeat With Me .
@beingarun28 
@YogiDevnath2
#भारत_खुला_है https://t.co/JsTkN08q2X",['भारत_खुला_है']
27,Ashutos20556756,on the way to make FUTURE BRIGHT,,21,2,109,62,"#भारत_खुला_है,#RakeshTikait 
Congress party right now 😂 https://t.co/ODQPuGcXLc","['भारत_खुला_है', 'RakeshTikait']"
28,TejesviToor,Om namah shivay🙏...,,20,5,259,5,"#भारत_खुला_है
Protect public property....... https://t.co/DAMrD87Toy",['भारत_खुला_है']
29,Pradeep82976192,"BJP  RSS 
SUPPORTERS","Lucknow, India",2867,1061,23289,961,"‘मुन्ना भाई किसान नेताओं’ की तो पोल ही खुल गई,अराजकता का भारत के असल किसानों व जनता ने दिया भरपूर जवाब,न तो एक भी दुकान का शटर गिरा,न ही सड़कों से भीड़ हटी,बंद का खेल सुपर फ्लाप,हां कांग्रेस और उसके चट्टों बट्टों का मोटा पैसा जरूर ‘मोटे खिलाड़ियों’ पर खर्च हो गया😂
 #भारत_खुला_है https://t.co/tk3GVDR5xt",[]
30,TejesviToor,Om namah shivay🙏...,,20,5,259,133,"The picture of the traitor Jinnah has not yet been removed from the AMU, whereas in Pakistan, the Baloch rebels blew up the statue of Jinnah.  Balochistan also knows Jinnah was a traitor?
#भारत_खुला_है  &amp;
#भारत_बन्द_नहीं_बुलंद_है 
#भारत_अब_बंद_नहीं_होगा",[]
31,GKSChauhan5719,राष्ट्रवादी हिंदू,,744,412,6302,177,"""राकेश टिकैत खुद को किसान नेता कहते हैं और फिर भारत बंद की घोषणा करते हैं, जो अर्थव्यवस्था और किसानों को प्रभावित करता है। इससे किसी का भला कैसे होता है? वे इसी तरह की गतिविधियों को जारी रखते हुए तालिबान के नक्शेकदम पर चलना चाहते हैं"":  भानु प्रताप सिंह, बीकेयू-भानु
#भारत_खुला_है https://t.co/imq03B8Byq",[]
32,TejesviToor,Om namah shivay🙏...,,20,5,259,147,"In the name of peasant movement, girls were #raped, Khalistani flag was hoisted in the name of the movement, it cannot be a peasant movement on the #Red Fort, it is the enemy of the country.
#भारत_बन्द_नहीं_बुलंद_है 
 #भारत_खुला_है

#भारत_अब_बंद_नहीं_होगा https://t.co/MST5ghAu7h",['raped']
33,Aisshhu,,,31,13,489,38,"#भारत_खुला_है
Dear Prime Minister @narendramodi , Will you please take a moment to look into the matter of TEQIP FACULTIES who are going to be Jobless on 30th September 2021. These are people from IITs and NITs. 
You are the only Hope!🙏🙏🙏 https://t.co/7KVJkuV1e3",['भारत_खुला_है']
