,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,crazyman7790,"God have mercy on my Soul
When my Heart turns cold",India,1207,333,19433,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
1,kunzite9,life is important to be taken seriously..........,,725,639,27220,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
2,Rajeshk55332211,संगठित भारत,,2430,1105,25836,41,"अब कोई #ViratKohli से पूछ लो.. ,

दीपावली पर ""दीपक"" जलाने से 
कहीं उसकी लौ से अंटार्कटिका की बर्फ तो नहीं पिघल जाएगी 🤔

#भौंक_मत_कोहली",['ViratKohli']
3,Pc91589189,"Proud Indian. Proud Hindu. Respect other religions but hate appeasement and conversion. Modi Bhakt. BJP supporter. 
|| जननी जन्मभूमिश्च स्वर्गादपि गरीयसी ||",भारत (India),94,11,2901,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
4,RajToma57293319,,,7,4,309,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
5,shamimadada,I live for the day when the promised land will b free from the clutches of Zionist apartheid Israel,Cape town,2500,1113,56493,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
6,pandey_sanjay_,"The Official Twitter account of Sanjay Pandey, Leader of Opposition - Municipal corporation Jagdalpur Bastar (C.G.) 🚩My tweets in Likes. 🚩 🚩जय श्रीराम","Chhattisgarh, India",6232,16817,47098,41,"अब कोई #ViratKohli से पूछ लो.. ,

दीपावली पर ""दीपक"" जलाने से 
कहीं उसकी लौ से अंटार्कटिका की बर्फ तो नहीं पिघल जाएगी 🤔

#भौंक_मत_कोहली",['ViratKohli']
7,prakhargupta310,,,14,3,539,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
8,aksinghmacharya,"एक ७२ वर्षीय युवा
हिंदुत्व मेरी आत्मा है
राष्ट्र से बड़ा कोई नहीं क्योंकि क्षत्रिय हूं स्वार्थी नहीं
#सेवानिवृत्त_राजपत्रित_अधिकारी_तकनीकी_शिक्षा_सेवा",,1707,854,8227,0,@ShrishtySays #भौंक_मत_कोहली,['भौंक_मत_कोहली']
9,ArundhutiN,,Burdwan,281,122,18961,158,एक कोहली है जो भोंकता है और एक धोनी है बोलता ही नहीं ! #भौंक_मत_कोहली,['भौंक_मत_कोहली']
10,AsIthastobesaid,,,153,234,7121,3632,"दीवाले आते है शुरू हो जाते है 
#भौंक_मत_कोहली @imVkohli 

@BittuTuFanii https://t.co/ec2fAsCVH5",['भौंक_मत_कोहली']
11,pradeep200002,🙏🙏🙏,,74,10,230,395,"#भौंक_मत_कोहली
What is this????
Why no gyan on Bakri Eid?
Why no Gyan on Christmas 🎄?
Why no Gyan on Using 2000 cc Engine car?
Why no Gyan on Bursting crackers on New year Eve? https://t.co/wAY1nOEv3R",['भौंक_मत_कोहली']
12,Chandan59426829,Hard work make me special,,15,1,133,0,#भौंक_मत_कोहली,['भौंक_मत_कोहली']
13,Dhanash48885320,,,8,0,47,1451,"We will not tolerate any disrespect towards our festivals. This is new India.

#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/G3ECdLU98n","['भौंक_मत_कोहली', 'BoycottFabIndia']"
14,rakeshkant100,Chokidaar,"Ajmer, India",253,41,1816,37,"जो भारत युगों युगों से दीवाली धूम धाम से मना रहा है, उस भारत को आज कल के लड़के बताएंगे कि दीवाली कैसे माननी चाहिए ..

#भौंक_मत_कोहली",[]
15,Dhanash48885320,,,8,0,47,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
16,advjagdishsinh1,#advocate # lawyer,,77,4,110,0,"@imVkohli @Pinterest ईद की सेंवई खा अब्दुल के साथ और खुश रहा!!!!!! #अनुष्का_अपना_कुत्ता_संभाल की भारी सफलता के बाद पेश है ,अगला सफलतम ट्रेंड 
#भौंक_मत_कोहली","['अनुष्का_अपना_कुत्ता_संभाल', 'भौंक_मत_कोहली']"
17,MrsKashyap_,"HouseWife 
Nationalist 
Rw","Gaya, India",887,533,11634,15,"हमे ज्ञान ना दें विराट कोहली @imVkohli 
#भौंक_मत_कोहली https://t.co/8vm7ZMEfUq",['भौंक_मत_कोहली']
18,Mishraji4bjp,"।।Student।।
।।Nothing Without Family।।
।।मैं नेता नहीं, गरीबों की आवाज़ बनना चाहता हूँ।।","Singrauli, India",396,128,810,0,"इतने दिन कहाँ थी सेक्युलर दीदी।
#भौंक_मत_कोहली #भोक_मत_कोहली #ViratKohli #viratkholi #ViratGang #bhauk_mat_kohli https://t.co/WNYe9ArMvC","['भौंक_मत_कोहली', 'भोक_मत_कोहली', 'ViratKohli', 'viratkholi', 'ViratGang', 'bhauk_mat_kohli']"
19,Mishraji4bjp,"।।Student।।
।।Nothing Without Family।।
।।मैं नेता नहीं, गरीबों की आवाज़ बनना चाहता हूँ।।","Singrauli, India",396,128,810,0,"हमें हमारे त्योहार कैसे मनाना है हमें अच्छी तरह पता है कृपया अपने ज्ञान अपने में डाल लें (समझदार भाई समझ गए)
#ViratKohli #AnushkaSharma #भौंक_मत_कोहली #भोक_मत_कोहली https://t.co/syzQvIKetD","['ViratKohli', 'AnushkaSharma', 'भौंक_मत_कोहली', 'भोक_मत_कोहली']"
20,HlFASTHMtktiWUz,,"Houston, TX",233,189,3820,342,"Dont click on like, only RT

#भौंक_मत_कोहली",['भौंक_मत_कोहली']
21,Mishraji4bjp,"।।Student।।
।।Nothing Without Family।।
।।मैं नेता नहीं, गरीबों की आवाज़ बनना चाहता हूँ।।","Singrauli, India",396,128,810,0,"Don't bark dear Anuska's dog....
#भौंक_मत_कोहली 
#ViratKohli #भोक_मत_कोहली #भौक #viratkholi #AnushkaSharma https://t.co/wRHyKb26sI","['भौंक_मत_कोहली', 'ViratKohli', 'भोक_मत_कोहली', 'भौक', 'viratkholi', 'AnushkaSharma']"
22,Best4NationIND,This handler brings positive and true news and supports the people who are patriotic and best of our Great Nation Bharat.,,273,199,9450,41,"#भोंक_मत_कोहली
हमें दिवाली मनानी है, तेरा मातम नहीं , हम तो पटाखे फोड़ेगे और जमकर फोड़ेंगे..!! 🎉 👇😄😂 https://t.co/xHg5LoG0Oz",['भोंक_मत_कोहली']
23,Pradeep52273958,,,27,0,37,307,"BOLD AND LOUD ⚡

MY FESTIVAL IS NOT FOR YOUR PROPAGANDA ...

WE LIVE IN SUCH KIND of  SOCIETY WHERE THEY HURT ONLY HINDU SENTIMENTS IN THE NAME OF SECULARISM.....
@eurasiawale
@PanditPrayagraj

#भौंक_मत_कोहली https://t.co/XhTH9r0Pms",[]
24,Pradeep52273958,,,27,0,37,399,"I did this.
😤😤
Save this gyaan for EID or Christmas.
If you don't want to celebrate then sit in a corner and cry. Hindus will not tolerate your propagandas.
chomu
@imVkohli
#भौंक_मत_कोहली https://t.co/B9j8PSnswY",[]
25,Pradeep52273958,,,27,0,37,262,"You should bark front of you bitch...
😡😡😡😡😡😡😡
 #भौंक_मत_कोहली https://t.co/RXSdNoTB4X",['भौंक_मत_कोहली']
26,Pradeep52273958,,,27,0,37,912,"#भौंक_मत_कोहली
Librandus 😂😂 https://t.co/DH3DRbKb6k",['भौंक_मत_कोहली']
27,Pradeep52273958,,,27,0,37,1024,"Watch the propaganda of shameless Bollywood industry 👇
#भौंक_मत_कोहली 
#भौंक_मत_कोहली
#BoycottFabIndia https://t.co/7ax9AIFc1U","['भौंक_मत_कोहली', 'भौंक_मत_कोहली', 'BoycottFabIndia']"
28,Pradeep52273958,,,27,0,37,173,"Don't bark dear Anuska's dog....
#भौंक_मत_कोहली https://t.co/qISO3jeAfV",['भौंक_मत_कोहली']
29,Vardilal1,,भारत,4765,3353,53316,342,"Dont click on like, only RT

#भौंक_मत_कोहली",['भौंक_मत_कोहली']
