,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Saro01991,Progress,,31,0,48,1,"Our national and local parties, specialy Opposition is rapidly catch  and  involved in Vulture Politics in Uttar Pradesh fearing clean sweep by CM @myogiadityanath govt in upcoming polls

#लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/ZaxaCbvYR4",[]
1,Saro01991,Progress,,31,0,48,2,"Let's start a new game, who's firstly reached the Lakhimpur and get selfie with kisaan.
Retweet And Expose . 

#लखीमपुर_में_राजनैतिक_गिद्ध",[]
2,efJVIx5Ye08MB93,,,42,2,63,4,#लखीमपुर_में_राजनैतिक_गिद्ध,['लखीमपुर_में_राजनैतिक_गिद्ध']
3,IMRP____,"क्षत्रिय 🚩

instagram     imrp_26


👉सत्य के साथ असत्य के खिलाफ !


हम तो बैरागी है न सम्मान का मोह न अपमान का भय

    #हर_हर_महादेव

🚩",,27,432,35382,1,"👉👉👉ग़ज़ब किसान है भाई.... 
30 एकड़ की धान की खड़ी फसल कटवा दी टेंट लगवाने के लिए 🤔
#लखीमपुर_में_राजनैतिक_गिद्ध",['लखीमपुर_में_राजनैतिक_गिद्ध']
4,ManishA39998041,B j p,"Varanasi, (महादेव की नगरी) Ind",122,3,48,1577,जितने भी योगी जी समर्थक इस समय ट्विटर पर एक्टिव है रिट्वीट करके अपनी उपस्थिति दर्ज कराएं #लखीमपुर_में_राजनैतिक_गिद्ध,['लखीमपुर_में_राजनैतिक_गिद्ध']
5,ProtoMA32878109,"IT Professional, Investor, Banker, Geo-Politics, Economics, Technology 🚩Sanatani Alien 🚩",Andromeda galaxy ,3990,1209,5318,0,"@priyankagandhi Rajasthan kab jaogi, jahan kal ek ladki ko beh rehmi se kata gya? Twitter par messages ignore karke kab tak bhagogi idhar udhar
#लखीमपुर_में_राजनैतिक_गिद्ध",['लखीमपुर_में_राजनैतिक_गिद्ध']
6,BabluBhaydiya,Student,,12,0,66,1,#लखीमपुर_में_राजनैतिक_गिद्ध,['लखीमपुर_में_राजनैतिक_गिद्ध']
7,BJPVikasMishra,"मोदी भक्त (निगम पार्षद प्रतिनिधि व मीडिया प्रभारी, न्यू अशोक नगर), त्रिलोकपुरी विधानसभा, दिल्ली प्रदेश @BJYM
@narendramodi","New Ashok Nagar, New Delhi",2356,1966,81982,8,"जो अपने राज्यों की चिंता ना करें और दूसरों के राज्यों में जाकर धरना प्रदर्शन करें उसे क्या कहेंगे?

#लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/B7TkrxyPsu",[]
8,Avaneesh4India,सब याद रखा जायेगा,,141,5,107,3,"फोटो खींचना मना है, लेकिन बिना फोटो लिए मंदिर आना सफल थोड़े ही होगा, बिना फोटो वोट कैसे मांगेंगे?
@priyankagandhi #लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/8vJ32ytxbV",[]
9,iShivani_speak,"Nation First , No Compromise🇮🇳
















Volunteer (ABVP)🚩🚩",,66,41,358,2,"राहुल जी जैसा ईमानदार व्यक्ति मैंने आजतक नहीं देखा जहां एक ओर राजस्थान में इनके मुख्यमंत्री किसानों पर लाठी चलवाते है वही छत्तीसगढ़ में इनकी सरकार निर्दोष आदिवासी किसानों को गोली से मार देती है ये हैं असली गिद्ध #लखीमपुर_में_राजनैतिक_गिद्ध 
@arvindswach https://t.co/mksY3BVRu0",[]
10,sanchitsanjay08,#NationFirst,India,1177,980,78064,3,"हाथरस पर बहुत बोल रही थी पिंकी, इस दलित का डीजल से अंतिम संस्कार कर दिया गया, एक शब्द नहीं निकलेगा!
#लखीमपुर_में_राजनैतिक_गिद्ध सिंधु बॉर्डर के अमानवीय घटनाक्रम पर चुप क्यों हैं??
@priyankagandhi @RahulGandhi @sherryontopp @CHARANJITCHANNI @INCIndia @INCPunjab https://t.co/CV5kb1rAiu",[]
11,iamabhinavchd,"भगवा सफेद हरा,
जीवन चक्र मेरा।
कर्म सत्य धरती माँ,
इसी मेँ मैँ पला।
भारतीय मैँ जन्मा,
भारतीय ही जला।
भारतीय मैँ जीयूं,
सदा भारतीय रहूं।
Admire @NarendraModi",Chandigarh,848,115,3589,3,"फोटो खींचना मना है, लेकिन बिना फोटो लिए मंदिर आना सफल थोड़े ही होगा, बिना फोटो वोट कैसे मांगेंगे?
@priyankagandhi #लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/8vJ32ytxbV",[]
12,iamabhinavchd,"भगवा सफेद हरा,
जीवन चक्र मेरा।
कर्म सत्य धरती माँ,
इसी मेँ मैँ पला।
भारतीय मैँ जन्मा,
भारतीय ही जला।
भारतीय मैँ जीयूं,
सदा भारतीय रहूं।
Admire @NarendraModi",Chandigarh,848,115,3589,3,"हाथरस पर बहुत बोल रही थी पिंकी, इस दलित का डीजल से अंतिम संस्कार कर दिया गया, एक शब्द नहीं निकलेगा!
#लखीमपुर_में_राजनैतिक_गिद्ध सिंधु बॉर्डर के अमानवीय घटनाक्रम पर चुप क्यों हैं??
@priyankagandhi @RahulGandhi @sherryontopp @CHARANJITCHANNI @INCIndia @INCPunjab https://t.co/CV5kb1rAiu",[]
13,Gautam_hc,"भारतीय, समानता, ट्विटर /वाट्सऐप और
सबका साथ, सब का विकाश",Dwarka  INDIA,218,228,21580,7,"लगभग सभी विपक्षी पार्टियों अपने राजनैतिक स्वार्थ के लिए लखीमपुर पहुंच रही हैं उनका लखीमपुर खीरी में मारे गए लोगों से कोई लेना-देना नहीं,
सिर्फ अपनी राजनीति चमकाना है।
#लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/xnth66DvcT",[]
14,BSudharak,"🙏कट्टर भारतीय🙏
🙏भारत माँ की सच्ची संतानें🙏
🙏भारत माँ के सच्चे देश भक्त🙏
🙏भारत माँ के सच्चे देश प्रेमी🙏
🙏भारत माँ के सच्चे भारत समाज सुधारक🙏",BHARAT,100,457,1071,4,"@vinod_bansal जिन राजनितिक गिद्धों के हाथ #1984 में हज़ारों सिखों के खून से रंगे है वो आज #सिखों का दर्द पूछ रहे है 

काश #कश्मीरी_हिन्दुओं और #पालघर के #साधुओ के लिए ये बंटी बबली के दर्द हुआ होता??
नही क्योंकि उनको नफरत केवल #हिन्दुओं से है
#लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/RSAI88BcQr",['सिखों']
15,Akash_9858,@Member #BJP A big Supporter of #BJP @NAMO @PM @HM @DM karyakarta @bjp A Huge fan of @NarendraModiji n @AmitShahji n @RajNathSinghji n works 4 #BJP_CHD,"Chandigarh, India",3476,28928,495349,627,"VVIP politicians at Airport!

#लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/nuXbTWGja8",['लखीमपुर_में_राजनैतिक_गिद्ध']
16,wingcdrsharma,BJP Legal Cell .Mandal 3 of Mohali. Advocate Punjab and Haryana High Court. NIT Kurukshetra . Delhi University LL.B . IIM Lucknow. Retired Wing Commander IAF,"Mohali, India",4192,159,19432,2,"मुंह में दहीं जमा कहां छुपे बैठे हो जनाब ??
@priyankagandhi
@RahulGandhi
देश की जनता मांग रही है जवाब !!
#PriyankaGandhi #लखीमपुर_में_राजनैतिक_गिद्ध #SindhuBorder सिंधु बॉर्डर https://t.co/MNhFRYGg0A",['PriyankaGandhi']
17,wingcdrsharma,BJP Legal Cell .Mandal 3 of Mohali. Advocate Punjab and Haryana High Court. NIT Kurukshetra . Delhi University LL.B . IIM Lucknow. Retired Wing Commander IAF,"Mohali, India",4192,159,19432,3,"फोटो खींचना मना है, लेकिन बिना फोटो लिए मंदिर आना सफल थोड़े ही होगा, बिना फोटो वोट कैसे मांगेंगे?
@priyankagandhi #लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/8vJ32ytxbV",[]
18,wingcdrsharma,BJP Legal Cell .Mandal 3 of Mohali. Advocate Punjab and Haryana High Court. NIT Kurukshetra . Delhi University LL.B . IIM Lucknow. Retired Wing Commander IAF,"Mohali, India",4192,159,19432,3,"हाथरस पर बहुत बोल रही थी पिंकी, इस दलित का डीजल से अंतिम संस्कार कर दिया गया, एक शब्द नहीं निकलेगा!
#लखीमपुर_में_राजनैतिक_गिद्ध सिंधु बॉर्डर के अमानवीय घटनाक्रम पर चुप क्यों हैं??
@priyankagandhi @RahulGandhi @sherryontopp @CHARANJITCHANNI @INCIndia @INCPunjab https://t.co/CV5kb1rAiu",[]
19,letsSee06138401,,,0,1,893,2,"मुंह में दहीं जमा कहां छुपे बैठे हो जनाब ??
@priyankagandhi
@RahulGandhi
देश की जनता मांग रही है जवाब !!
#PriyankaGandhi #लखीमपुर_में_राजनैतिक_गिद्ध #SindhuBorder सिंधु बॉर्डर https://t.co/MNhFRYGg0A",['PriyankaGandhi']
20,iJaswal4India,Nationalist || Ram Bhakt || State Social Media In-charge @BJP4Chandigarh || Ex- State IT In-charge @BJYMinCH || Farmer || Sagittarius,"Chandigarh, India",271,842,88026,3,"हाथरस पर बहुत बोल रही थी पिंकी, इस दलित का डीजल से अंतिम संस्कार कर दिया गया, एक शब्द नहीं निकलेगा!
#लखीमपुर_में_राजनैतिक_गिद्ध सिंधु बॉर्डर के अमानवीय घटनाक्रम पर चुप क्यों हैं??
@priyankagandhi @RahulGandhi @sherryontopp @CHARANJITCHANNI @INCIndia @INCPunjab https://t.co/CV5kb1rAiu",['लखीमपुर_में_राजनैतिक_गिद्ध']
21,iJaswal4India,Nationalist || Ram Bhakt || State Social Media In-charge @BJP4Chandigarh || Ex- State IT In-charge @BJYMinCH || Farmer || Sagittarius,"Chandigarh, India",271,842,88026,3,"फोटो खींचना मना है, लेकिन बिना फोटो लिए मंदिर आना सफल थोड़े ही होगा, बिना फोटो वोट कैसे मांगेंगे?
@priyankagandhi #लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/8vJ32ytxbV",['लखीमपुर_में_राजनैतिक_गिद्ध']
22,iJaswal4India,Nationalist || Ram Bhakt || State Social Media In-charge @BJP4Chandigarh || Ex- State IT In-charge @BJYMinCH || Farmer || Sagittarius,"Chandigarh, India",271,842,88026,2,"मुंह में दहीं जमा कहां छुपे बैठे हो जनाब ??
@priyankagandhi
@RahulGandhi
देश की जनता मांग रही है जवाब !!
#PriyankaGandhi #लखीमपुर_में_राजनैतिक_गिद्ध #SindhuBorder सिंधु बॉर्डर https://t.co/MNhFRYGg0A","['PriyankaGandhi', 'लखीमपुर_में_राजनैतिक_गिद्ध', 'SindhuBorder']"
23,DwivediMadan,,,4873,3510,176525,7,"लगभग सभी विपक्षी पार्टियों अपने राजनैतिक स्वार्थ के लिए लखीमपुर पहुंच रही हैं उनका लखीमपुर खीरी में मारे गए लोगों से कोई लेना-देना नहीं,
सिर्फ अपनी राजनीति चमकाना है।
#लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/xnth66DvcT",[]
24,MANJITSINGHARYA,Young Leader Aam Aadmi Party,haryana (india),1815,1198,35006,7,"लगभग सभी विपक्षी पार्टियों अपने राजनैतिक स्वार्थ के लिए लखीमपुर पहुंच रही हैं उनका लखीमपुर खीरी में मारे गए लोगों से कोई लेना-देना नहीं,
सिर्फ अपनी राजनीति चमकाना है।
#लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/xnth66DvcT",[]
25,Vk20202020,1993,"Indore, India",1031,216,1828,7,"लगभग सभी विपक्षी पार्टियों अपने राजनैतिक स्वार्थ के लिए लखीमपुर पहुंच रही हैं उनका लखीमपुर खीरी में मारे गए लोगों से कोई लेना-देना नहीं,
सिर्फ अपनी राजनीति चमकाना है।
#लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/xnth66DvcT",[]
26,nabhawala,"जब तक खून में हलचल हैं, तिंरगा झुक नहीं सकता !
वंदेमातरम,जय हिंन्द,भारत माता की जय ।","Jaipur, India",434,279,21653,7,"लगभग सभी विपक्षी पार्टियों अपने राजनैतिक स्वार्थ के लिए लखीमपुर पहुंच रही हैं उनका लखीमपुर खीरी में मारे गए लोगों से कोई लेना-देना नहीं,
सिर्फ अपनी राजनीति चमकाना है।
#लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/xnth66DvcT",[]
27,SSunnynishad,"राष्ट्रहित , समाजहित और धर्महित कि बातो को प्रमुखता से उठाने वाला राष्ट्रवादी हिंदू।","Bhandup West, Mumbai",5001,767,113409,7,"लगभग सभी विपक्षी पार्टियों अपने राजनैतिक स्वार्थ के लिए लखीमपुर पहुंच रही हैं उनका लखीमपुर खीरी में मारे गए लोगों से कोई लेना-देना नहीं,
सिर्फ अपनी राजनीति चमकाना है।
#लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/xnth66DvcT",[]
28,M1008P,ज़िन्दगी...🎵  कैसी है पहेली हाए...🎶  कभी तो हँसाये...🎼  कभी ये रुलाये...🎵  ज़िंदगी...!!🎹 🎸 🥁 🎺 🎷🎵🎶🎼🎶🎵🎼🎹,India,117375,133342,185706,7,"लगभग सभी विपक्षी पार्टियों अपने राजनैतिक स्वार्थ के लिए लखीमपुर पहुंच रही हैं उनका लखीमपुर खीरी में मारे गए लोगों से कोई लेना-देना नहीं,
सिर्फ अपनी राजनीति चमकाना है।
#लखीमपुर_में_राजनैतिक_गिद्ध https://t.co/xnth66DvcT",[]
29,Dharmen28456708,,,6,6,1393,441,मेरे साथ सभी राष्ट्रवादी लिखें #लखीमपुर_में_राजनैतिक_गिद्ध,['लखीमपुर_में_राजनैतिक_गिद्ध']
30,SinggAzad,,"गामा, Greater Noida",390,329,9623,19,"बिग ब्रेकिंग
केंद्रीय गृहराज्य मंत्री टेनी का पुत्र आशीष मिश्रा किसानों की हत्या के अपराध में गिरफ्तार
#लखीमपुर_में_राजनैतिक_गिद्ध 
#किसान_हत्यारी_भाजपा",[]
