,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Anshuma89956923,👉सच जो आप जानना चाहते हैं 👈,"Gauriganj, India",35,729,184,2,"#सतभक्ति_के_लाभ
सतभक्ति करने वाले की अकाल मृत्यु नहीं होती जो मर्यादा में
रहकर साधना करता है। 
अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें | https://t.co/Bf6x56LpzU",['सतभक्ति_के_लाभ']
1,ArjunSolankiAS,"🙏🙏चुक गई तो चुक जान दे | कर सतगुरु से हेत,,
सतगुरु दिन दयाल है,,फिर उपजा दे खेत🙏🙏!बोलो बंदीछोड़ सतगुरु रामपाल जी भगवान जी की जय हो  📿📿","Madhya Pradesh, India",1242,1378,23046,0,"##GodMorningFriday
#सतभक्ति_के_लाभ 

भूत-प्रेत, पित्तर-भैरव-बेताल जैसी आत्माऐं सतभक्ति करने वाले परिवार के आसपास नहीं आती। देवता उस भक्त परिवार की सुरक्षा करते हैं। @SaintRampalJiM
Visit- Sant Rampal Ji Maharaj YouTube Channel https://t.co/UtKubDgDVl","['GodMorningFriday', 'सतभक्ति_के_लाभ']"
2,Kuldeep00617843,,,3,34,20293,140,"#GodMorningThursday
All diseases are destroyed by staying in the limit of Satbhakti
 For more information,
 watch Sadhna TV at 7:30 PM .
 #सतभक्ति_के_लाभ,#ThursdayThoughts https://t.co/tspI6wu9Da",['GodMorningThursday']
3,AartiSh74438043,"कबीर, बिन माँगे मोती मिलें , माँगे मिले न भीख ।
माँगन से मरना भला  , यह सतगुरू की सीख ।। 🌹🥰
Follow me on Instagram: @spiritual_gyaan01","karnal, India",10,729,22877,140,"#GodMorningThursday
All diseases are destroyed by staying in the limit of Satbhakti
 For more information,
 watch Sadhna TV at 7:30 PM .
 #सतभक्ति_के_लाभ,#ThursdayThoughts https://t.co/tspI6wu9Da",['GodMorningThursday']
4,SBsingh18073080,"राम नाम कड़वा लागे मीठे लागे दाम।
 दुविधा में दोनों गए माया मिली ना राम।।

कबीर यह तन जाएगा सकै तो ठाहर ला।
 एक सेवा कर सतगुरु की और गोविंद के गुण गा।।","Sonia Vihar, New Delhi",4820,1855,105883,1,"#GodMorningFriday
#सतभक्ति_के_लाभ 

भूत-प्रेत, पित्तर-भैरव-बेताल जैसी आत्माऐं सतभक्ति करने वाले परिवार के आसपास नहीं आती। देवता उस भक्त परिवार की सुरक्षा करते हैं। @SaintRampalJiM
Visit- Sant Rampal Ji Maharaj YouTube Channel https://t.co/JBQPFPUngA","['GodMorningFriday', 'सतभक्ति_के_लाभ']"
5,SidarGaya,Mission Satlok,,179,39,584,58,"#GodMorningWednesday True Worship holds cure for cancer
The most effective and the best treatment of cancer is available with True Guru @SaintRampalJiM by True Worship.

#GodMorningWednesday 
#सतभक्ति_के_लाभ 💐💐 https://t.co/FyLybCr4ti",['GodMorningWednesday']
6,SureshS79847674,100%💯%100%💯%  #1DDrive %100%💯 #NaturePhotography 💯%100%💯%💯,"Mumbai, India",5779,5634,3332,5,"#JayMatadi #matarani #Mata #सनातन_धर्म_सर्वश्रेष्ठ_है #सुप्रभात 
#माता_दुर्गाको_अद्भुतरहस्य #माँ #लक्ष्मी #माता #सतभक्ति_के_लाभ https://t.co/os4FKNKdOb","['JayMatadi', 'matarani', 'Mata', 'सनातन_धर्म_सर्वश्रेष्ठ_है', 'सुप्रभात', 'माता_दुर्गाको_अद्भुतरहस्य', 'माँ', 'लक्ष्मी', 'माता']"
7,DhanbeerD,,,108,14,2283,12,"##TheRealWorship
#MustListen_Satsang
At SadhnaTV 7,30PM
Who is the Father of maa Durga ? 
To know the answer, must read the spiritual book ""Way of living"" by Sant Rampal Ji Maharaj.
#सतभक्ति_के_लाभ https://t.co/oig5f20Kax","['TheRealWorship', 'MustListen_Satsang']"
8,RanbirD33097338,,,877,1106,550354,10,"@#सतभक्ति_के_लाभ
परमात्मा कबीर साहेब पाप विनाशक है।।
यजुर्वेद अध्याय 8 मन्त्र 13 में कहा गया है कि परमात्मा अपने साधक के पाप नाश कर सकता है। संत रामपाल जी महाराज जी से उपदेश लेने व मर्यादा में रहने वाले भक्त के पाप नष्ट हो जाते हैं।
@SaintRampalJiM  https://t.co/EYgApv6vRn",['सतभक्ति_के_लाभ']
9,RanbirD33097338,,,877,1106,550354,323,"#सतभक्ति_के_लाभ
परमात्मा कबीर साहेब पाप विनाशक है।।
यजुर्वेद अध्याय 8 मन्त्र 13 में कहा गया है कि परमात्मा अपने साधक के पाप नाश कर सकता है। संत रामपाल जी महाराज जी से उपदेश लेने व मर्यादा में रहने वाले भक्त के पाप नष्ट हो जाते हैं।
@SaintRampalJiM  https://t.co/S2jZwx6Sog",['सतभक्ति_के_लाभ']
