,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,AmiteSharma6277,Hi Bhagavad Gita ancient First holy book 6000 yrs old. Proud Hindu myself Pandit Amit Sharma for any Astrology Consultation contact in New Delhi India,"New Delhi, India",5002,2721,25890,2,@preet_japat @SimranjChahal @mssirsa @cbseindia29 Lots of evidence hindu also wants that why nihang treat dalit people badly n they kill their own staff and treat hindu people as a bihari.,[]
1,Raj_dRuler,,USA,35,7,10,22,"This morning, I had the honor of presenting a proclamation designating the month of October 2021 as Hindu Heritage Month in Austin, Texas.

#ATXCouncil
(1/3) https://t.co/94ehwvcGWo",[]
2,NITINJOSHI80,"🚩नमस्ते सदा वत्सले मातृभूमे 🚩






































#Financial Management #Wealth Management #Investment management",India,1610,575,167797,65,"Pushpita Gupta a Hindu in the UK is on a hunger strike to protest against the Hindu Genocide in Bangladesh in front of it's Embassy in London.
Unlike the paid Anti-Hindu toolkit spreaders she's not receiving any media coverage as it goes against their narrative.
Spread This Max🙏 https://t.co/zZYBjyrqKN",[]
3,Hichmalumnist,Retweets are not endorsements,,515,306,224680,20,"https://t.co/p3nQLVXszI
Muslim marriage is a contract and not sacrament unlike a Hindu marriage

Enter as many contracts to protect this nation.",[]
4,ManojDahale7,Indian man with lots of opinions.,,139,14,669,0,"@FarakulIslam @ndtv Are you seriously comparing the two? 

Ok here it goes.

Violence is wrong against anyone. Be it a hindu or muslim.

Now would you dare to say that what the Bangladeshi's perceived as insult to Islam was wrong? Come on. Say it.",[]
5,SunilKandalkar4,"नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः।

न चैनं क्लेदयन्त्यापो न शोषयति मारुतः।।2.23।।",India,1006,1105,47703,596,"Hindu Tej Jago!

Actor Aamir Khan appeals people not to burst firecrackers on roads in an advertisement promoting 'Ceat Tyres'.

Dear Aamir, people are eagerly awaiting a similar appeal not to offer Namaz on roads as well !

#ShameonYouCeatTyres https://t.co/vRuVBtzDvJ",[]
6,gbd1971,,mumbai,4923,1230,176944,16,"No I won't - in simple words. I am a hindu and will marry a hindu only. 

No grudges against anyone ..any religion but I took born as a Hindu..will die as a Hindu.

#JaiShriRam

https://t.co/sSqBNUcZkx https://t.co/b7Q574EcO7",[]
7,AndrewV691,"RT ≠ Endorcement

Sūrat luq'mān 31:19 And be moderate in thy pace, and lower thy voice; for the harshest of sounds without doubt is the braying of the ass.","BC, Canada",192,118,10285,4,"a discussion the other day about 'representation' in a democracy. would it work if harvard was 50% asian American as it produces American elite.

india 'makes it work' ... half the prime ministers have been brahmin when they're only 2-5% of the population https://t.co/xgpzJ5bphF",[]
8,SlimMadrox304,"I ain't a killa, but don't push me. #IStandWithPalestine 🇵🇸",,4999,3797,150600,11,"imagine what the world would be like if we let each other live life as a Christian, a Hindu, a Muslim, a Buddhist, a Jew, an atheist etc. without interfering and forcing it onto one another 🤯",[]
9,napakins,in my 20s just wingin it.,UK,498,6107,7432,11,"imagine what the world would be like if we let each other live life as a Christian, a Hindu, a Muslim, a Buddhist, a Jew, an atheist etc. without interfering and forcing it onto one another 🤯",[]
10,Nawazishkhan,"MBA, MA-International Relations, Geopolitics Love Zaid Hamid Think Tank Pakistan",Pakistan,352,38,10720,346,@ZaidZamanHamid's account has been withheld in India in response to a legal demand. Learn more.,[]
11,shubhraj9999,"हिन्दू राष्ट्रभक्त, जय हो सनातन की #६ह
#हर_कण_हिन्दू",,1008,574,3280,596,"Hindu Tej Jago!

Actor Aamir Khan appeals people not to burst firecrackers on roads in an advertisement promoting 'Ceat Tyres'.

Dear Aamir, people are eagerly awaiting a similar appeal not to offer Namaz on roads as well !

#ShameonYouCeatTyres https://t.co/vRuVBtzDvJ",[]
12,SMareppanavar,"Master Mariner, CMMI, BA, BSc, MSc, MBA(In Pr), BJP, 🇮🇳 ,🕉️🚩",,1083,425,135325,167,"Just like Kathak?
Khala Mohsin Khan...
Kathak is a beautiful hindu classical dance form devoted to its Gods...it dance compositions are mostly centred around Bhagwan Krishan &amp; Lord Shiva...
Pls don't try to appropriate Hindu dance forms to prove ur urdu baazi as hindustani... https://t.co/WhBFOi0w10",[]
13,sudeepj21,"होइहि सोइ जो राम रचि राखा। को करि तर्क बढ़ावै साखा॥
अस कहि लगे जपन हरिनामा। गईं सती जहँ प्रभु सुखधामा॥",HiranyaGarbha,1682,340,111772,27,"For “historian”ofHinduism says lot if u didn’t know Article 25 existed. More gaps?If Const says Hindus includes Sikhs,Jains &amp; Buddhists &amp; also their institutions, you dismiss this as “making molehill into a mountain”.This inclusive description of Hindu doesn’t limit rel freedom. https://t.co/tMAqoQV7P1",[]
14,JayeshTak10,,,27,1,59,596,"Hindu Tej Jago!

Actor Aamir Khan appeals people not to burst firecrackers on roads in an advertisement promoting 'Ceat Tyres'.

Dear Aamir, people are eagerly awaiting a similar appeal not to offer Namaz on roads as well !

#ShameonYouCeatTyres https://t.co/vRuVBtzDvJ",[]
15,ColorfulFiction,Colorful Short Stories for your leisure! See & RT my pinned tweet. 🙏🏼,Amazon ,21192,21190,135740,292,"Hinduism ‘as a religion’ is like blind men and an elephant (अंधों का हाथी).

Whereas Hindu philosophy can make even blind men to see the whole elephant. 

Agree?",[]
16,asli_farmers,,,929,454,321,16,"No I won't - in simple words. I am a hindu and will marry a hindu only. 

No grudges against anyone ..any religion but I took born as a Hindu..will die as a Hindu.

#JaiShriRam

https://t.co/sSqBNUcZkx https://t.co/b7Q574EcO7",[]
17,Vikram_Noolvi,"Engineer, Natural & Forestry Farmer...",,613,95,12393,652,"Fabindia asked Hindus to celebrate Deepawali in a non-Hindu manner

As soon as Hindus on Twitter united, Fabindia removed its anti-Hindu marketing campaign

Now even Washington Post is crying looking at how Hindus brought Fabindia to its knees

If we unite, we can create miracles",[]
18,ssandeep_9,,,364,18,2603,596,"Hindu Tej Jago!

Actor Aamir Khan appeals people not to burst firecrackers on roads in an advertisement promoting 'Ceat Tyres'.

Dear Aamir, people are eagerly awaiting a similar appeal not to offer Namaz on roads as well !

#ShameonYouCeatTyres https://t.co/vRuVBtzDvJ",[]
19,radilka0,"கூடிப் பிரியாமலே ராவெல்லாம்

கொஞ்சிக் குலாவியங்கே
ஆடி விளையாடியே உன் மேனியை ஆயிரம் கோடி முறை

நாடித் தழுவி மனக்குறை தீர்ந்து நான் நல்ல களியெய்தியே

பாடிப் பரவசம",,38,9,1782,596,"Hindu Tej Jago!

Actor Aamir Khan appeals people not to burst firecrackers on roads in an advertisement promoting 'Ceat Tyres'.

Dear Aamir, people are eagerly awaiting a similar appeal not to offer Namaz on roads as well !

#ShameonYouCeatTyres https://t.co/vRuVBtzDvJ",[]
20,Bhawani13157008,Devi putra charan,,360,85,3428,596,"Hindu Tej Jago!

Actor Aamir Khan appeals people not to burst firecrackers on roads in an advertisement promoting 'Ceat Tyres'.

Dear Aamir, people are eagerly awaiting a similar appeal not to offer Namaz on roads as well !

#ShameonYouCeatTyres https://t.co/vRuVBtzDvJ",[]
21,Shubham49628323,Radhe Radhe🙏,"Ludhiana, India",12,14,2013,596,"Hindu Tej Jago!

Actor Aamir Khan appeals people not to burst firecrackers on roads in an advertisement promoting 'Ceat Tyres'.

Dear Aamir, people are eagerly awaiting a similar appeal not to offer Namaz on roads as well !

#ShameonYouCeatTyres https://t.co/vRuVBtzDvJ",[]
