,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,edaccessible,"Yani's Husband, Nicki & Val's Father. A11y Strategist. Diversity & Inclusion ♿️ Director of Compliance at @essentia11y | Board Member. MMA Fan. God always","Brunswick, MD",115564,108996,386680,0,Bangladesh's Hindus living in fear following mob attacks https://t.co/gSKhT4xZJW https://t.co/1uxt475o6V,[]
1,Big_City_Radio,"89.1FM 📻 | DAB 🎙 | MOBILE 📲 | ONLINE 💻 | SMART SPEAKERS 🔊
#BigCity supporting new music tag us","Birmingham, England",2680,2711,10425,0,Bangladesh's Hindus living in fear following mob attacks https://t.co/evO5bqw3Ov,[]
2,NewsPlayerPlus,"Streaming global news channels in one convenient place. Now LIVE in the UK. Coming soon to Europe, Africa and USA. 
7 day free trial at: https://t.co/vXXJY3mKYX","London, England",793,1127,21069,0,Bangladesh's Hindus living in fear following mob attacks https://t.co/E4BTpfinA6 Visit NewsPlayer+ #breakingnews #livestreaming #newsplayerplus,"['breakingnews', 'livestreaming', 'newsplayerplus']"
3,BerkleyBearNews,"Bringing the news that is important, that as quick as a dog can bring it.",Doghouse,174,1309,1870525,0,Bangladesh's Hindus living in fear following mob attacks https://t.co/Bc530k5jW0 #news #topstories #berkleybearnews,"['news', 'topstories', 'berkleybearnews']"
4,Username0094,LEGAL IMMIGRANTS GET NOTHING THIS YEAR!!! Mark my word!!!,,313,20,2921,228,"#Hindus_Attacked_In_Bangladesh:  Pushpita Gupta, a Hindu UK citizen is protesting against the ongoing Hindu genocide in Bangladesh outside its embassy in London by undertaking a hunger strike. 
What are you doing to ensure #BangladeshiHinduWantSafety  @DrAmbardar @storiesofBHs https://t.co/8Sp2pJq7pn",['Hindus_Attacked_In_Bangladesh']
5,HalaiKastur,,,59,128,23836,1109,"Make your voice heard, share mercilessly

#Hindus_Attacked_In_Bangladesh https://t.co/uZrSYGWIKH",['Hindus_Attacked_In_Bangladesh']
6,DharBiha,,"New Delhi, India",110,16,3059,339,"#SaveBangladeshiHindus – Netizens demand security for Hindus in Bangladesh after series of communal attacks

https://t.co/V6mpU7uUqs",['SaveBangladeshiHindus']
7,kabeer_kolikkad,"I'm a collection of stardust called Kabeer ✨

https://t.co/QtizEolWcH",St2-18,789,389,10265,909,"Bangladesh showing the way!

Thousands from the Left and secular, democratic forces in Dhaka hit the historic Shahbag yesterday demanding abolition of 'state religion', and condemning the atrocities recently perpetrated on the minority Hindus there.

#Bangladesh https://t.co/7AEVs5P252",[]
8,TruthPrevail3,"Tweets personal views. RT, Likes & following someone not endorsement.",,1669,1143,93053,1303,"450 people arrested in Bangladesh.
Cricketers condemn the violence.
The Awami League holds a march supporting Hindus.
College students in Dhaka hold protests.

A Nation is not defined by violent acts of bigotry. A Nation is defined by how it responds to violent acts of bigotry.",[]
9,Goldberg3107,Loyal,,28,2,229,2438,"'So many dreams lost in a flash’: Bangladesh cricketer Mortaza condemns attacks on Hindus

Proud of you Murtaza. Now name me one Indian cricketer, sportsman who has condemned the everyday communal violence in India under Modi
https://t.co/g8KnCVrg92",[]
10,tuticorian,Tooling Engineer by Profession | Foodie | Loves Sports - Lives Cricket |கலைஞர் | Leftist | MSD Fan | Illayaraaja Fan | 44M  | Enjoys Life as it comes .,Chennai/Tuticorin/Coimbatore,1855,621,20117,1008,"Large procession in Dhaka, Bangladesh condemning violence against minority Hindus in the country. Fundamentalist majority groups gain strength when moderate majority decides to remain silent! https://t.co/8bwyEiRwHN",[]
