,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Chaukidarsanjee,NATIONALIST,,60,20,7909,0,"BJP MP Anant Hegde writes to Anant Vardhan Goenka, MD&amp;CEO CEAT Tyres to make Ad showcasing nuisance of Namaz on roads, loudspeakers in mosques

Taking a dig at Aamir Khan,Hegde also mentioned that it has become a norm for some anti-Hindu actors to pointout wrong about the Hindus https://t.co/IQBPzWwKwa",[]
1,brickmetal,"MBA (Marketing)  - IIM
EXTC - Engineer. 
businessman. 
NaMo. RSS. World Politics. History. Indology.

Zombie Survival Expert 🧟‍♂️",mumbai,1407,813,58701,242,"Why does Aamir Khan, who gave the knowledge of not bursting crackers on the road, speak against Namaz on the road? https://t.co/potJ8NC1Se",[]
2,snnbngl,"Galatasaray!.. Bir ben var, benden içeri! (Kabardey) Muhasebe \ Accountant \ Financial Expert \ Budget Specialist \ İzmir-İstanbul-New York",Karşıyaka/İzmir/Türkiye,4144,4483,119516,89,"""Namaz, dünya işlerinden bir an olsun kurtulup nefes almaktır."" https://t.co/m6XgukOgCF",[]
3,SubhashBhargav7,,"Dehradun, India",69,20,167,297,"Why only Hindu festival??

Why doesn't Aamir Khan speak on the Namaz on the way?🤬
मैं अमीर खान की हर विज्ञापन का बहिष्कार करता हूं
#ShameonYouCeatTyres
@amir_khan

#ShameonYouCeatTyres https://t.co/Y4z5kF6QnZ https://t.co/iJKxEFUkx2",[]
4,Haidariyamm,"If you’re reading this, then I’m already too late•","Islamabad, Pakistan",315,1051,14060,0,"Fajr ki Namaz and then Ziyarat Ashura 
Best start of the day • 
#alhamdulilah",['alhamdulilah']
5,15gunes25,‏‏‏‏‏‏‏‏‏‏bizimle  derdi olanın derdi bitmez  ‏مدد يا سيدي ياابو زهرة بخديجه والحسينين,Melbourneمالبورن,500,1128,77899,1384,"""İslâm beş (temel) üzerine kurulmuştur: Allah’tan başka ilah olamadığına ve Muhammed (s.a.s)’in O’nun kulu ve elçisi olduğuna şahitlik etmek, namaz kılmak, zekat vermek, hacca gitmek ve Ramazan orucunu tutmak.”

(Buharî, “İman”, 2; Müslim,“İman”, 21)

Cumamız mübarek olsun",[]
6,ariciesmareyhan,,,267,159,5130,0,@suckmaydick31 ayin ibadet gibi bi şi değil mi işte namaz kılınca allah kabul etsin derler komiklikler şakalar espri yaptım kendimce,[]
7,enginemin05,"⭐⭐⭐⭐         1⃣9⃣0⃣5⃣         
🦁💛❤🦁 @GalatasaraySK 🇹🇷
⭐⭐⭐⭐        🏆2⃣2⃣🏆",İSTANBUL 🇹🇷 TÜRKİYE ,122,289,75725,1384,"""İslâm beş (temel) üzerine kurulmuştur: Allah’tan başka ilah olamadığına ve Muhammed (s.a.s)’in O’nun kulu ve elçisi olduğuna şahitlik etmek, namaz kılmak, zekat vermek, hacca gitmek ve Ramazan orucunu tutmak.”

(Buharî, “İman”, 2; Müslim,“İman”, 21)

Cumamız mübarek olsun",[]
8,Praveen29845319,"Praveen Kumar pk  वामपंथी/आतंकवाद/ मार्क्सवादी के
विनाश के लिए एक सशक्त आवाज",,1967,220,1388,898,"Amir Khan and Ceat tyre should make a addvertisement on this also. Road is for vehicles ,Not for Namaz😒 A worldwide problem 😟 
#ShameonYouCeatTyres https://t.co/n70kfMvK4e",[]
9,agarwal_navin,,,1142,360,67486,1703,"BJP MP Anantkumar Hegde writes to CEAT Tyres to make ad showcasing nuisance of namaz on roads, loudspeakers in mosques: Full text of letter

https://t.co/Rc1NpHopJl",[]
