,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,ShriramPradhan5,Kabir is supreme God,,55,43,5250,13,"#SatlokVsEarth
सतलोक में दूध की नदियां बहती हैं। वहां किसी वस्तु का अभाव नहीं।
जबकि काल लोक/पृथ्वी लोक पर चारों तरफ गंदगी के ढेर लगे हैं। इस लोक को खोकापुर भी कहते हैं। यहां सब वस्तुओं का अभाव है।
अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें |",['SatlokVsEarth']
1,Sandip20474081,रब द बंदा,,124,59,942,0,"#SatlokVsEarth
सतलोक Vs पृथ्वी लोक
सतलोक में जन्म व मृत्यु नहीं है।
जबकि पृथ्वी पर कुछ भी स्थाई नहीं है। सब नाश्वान है।
अवश्य देखें
Sadhana TV channel
7:30pm daily.
अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें | https://t.co/tMwESGQV9L",['SatlokVsEarth']
2,Rohitku46264629,Student,,8,70,21521,1,"#SatlokVsEarth
काल लोक/पृथ्वी लोक में जन्म-मृत्यु और वृद्धावस्था सबसे बड़े दुख हैं।
जबकि सतलोक में सर्व सुख हैं। न ही जन्म-मृत्यु का दुख, न ही वृद्धावस्था का दुःख।
  अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें |
#SatlokVsEarth","['SatlokVsEarth', 'SatlokVsEarth']"
3,AbhayRa47923613,chakradhar pradhan,,287,379,7901,4,"#SatlokVsEarth
काल लोक/पृथ्वी लोक में पांच तत्व का शरीर होता है। 
लेकिन सतलोक में हमारा पांच तत्व का शरीर नहीं होता। वहाँ हमारा नूरी शरीर होता है। जो नश्वर नहीं होता।
अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें | https://t.co/zt14Wb2Txr",['SatlokVsEarth']
4,AbhayRa47923613,chakradhar pradhan,,287,379,7901,15,"#SatlokVsEarth
सतलोक में प्रत्येक हंस आत्मा का परमात्मा जैसा नूरी शरीर है। जिसका तेज 16 सूर्यों के समान है। 
जबकि काल लोक/पृथ्वी लोक पर सभी का पांच तत्त्व से बना नाशवान शरीर है। जिसमें हजारों तरह की बीमारियां सदैव बनी रहती हैं।
 अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube https://t.co/QwO5560Zeu",['SatlokVsEarth']
5,SewakPatel6,sewakpatel,,32,51,1820,1,अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें | https://t.co/LlpdQ7ddsY,[]
6,Vijende91424752,,,266,144,9892,3,"#SatlokVsEarth
""Satlok"" is the eternal place of eternal God Kabir, until we go to Satlok we can't attain supreme peace happiness &amp; immortality

Watch ""Sadhana TV"" daily 7.30pm

PDF of ""Gayan Ganga"" on website mentioned below

Visit on YouTube channel ""Sant Rampal ji Maharaj ji"" https://t.co/dz3O2ODjBE",['SatlokVsEarth']
7,JCVerma15,,,174,268,286340,352,"#श्राद्ध_क्यों_न_करें
Pind Daan or Shradh Karma performed for the salvation of the soul is useless.

       Tatvdarshi Sant Rampal Ji Maharaj
For more details Sadhna TV 07:30 PM (IST) https://t.co/Tpy8FtPMre",['श्राद्ध_क्यों_न_करें']
8,AbhayRa47923613,chakradhar pradhan,,287,379,7901,1,"#SatlokVsEarth
सतलोक में दूध की नदियां बहती हैं। वहां किसी वस्तु का अभाव नहीं।
जबकि काल लोक/पृथ्वी लोक पर चारों तरफ गंदगी के ढेर लगे हैं। इस लोक को खोकापुर भी कहते हैं। यहां सब वस्तुओं का अभाव है।
अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें | https://t.co/J1LXWoq0RZ",['SatlokVsEarth']
9,bQFTCyTCS1zk6df,,,8899,18280,28067,3,"#GodMorningFriday 
#FridayMotivation 

केसी अनहोनी कर सकता है

परमात्मा?

कौन है वह परमेश्वर जो अद्भुत चमत्कार कर देता है?

जानने के लिए अवश्य पढ़ें पवित्र पुस्तक ज्ञान गंगा ।

Pls visit on sant Rampal Ji Maharaj YouTube channel https://t.co/ikpLL6WHe1","['GodMorningFriday', 'FridayMotivation']"
10,ShriramPradhan5,Kabir is supreme God,,55,43,5250,6,"#HowToFindMentalPeace

Sant Rampal Ji Maharaj
 कबीर, लूट सको तो लूटियो, राम नाम की लूट।
फिर पीछे पछताओगे, प्राण जाएंगे छूट।।
हमें यह मनुष्य जीवन भक्ति धन को बढ़ाने के लिए मिला है। यदि हमने इसे यूं ही

अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें | https://t.co/wjJsS7ZlMJ",['HowToFindMentalPeace']
11,Rohitku46264629,Student,,8,70,21521,1,"#SatlokVsEarth
🏡काल लोक/पृथ्वी लोक में अपना किया ही जीव भोगता है। 
सतलोक में कोई अभाव नहीं है। सब परमात्मा के कोटे से मिलता है और इसी वजह से वहाँ राग-द्वेष नहीं है। सब मिलकर प्रेम से रहते हैं और परमात्मा का गुणगान करते हैं।
अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube https://t.co/YIoCzwnD7A",['SatlokVsEarth']
12,Vijende91424752,,,266,144,9892,1,"#SatlokVsEarth
🏡 सतलोक में जाने के बाद जीवात्मा का जन्म-मरण हमेशा के लिए समाप्त हो जाता है।
लेकिन सतभक्ति के अभाव में पृथ्वी के प्राणी 84 लाख योनियों के चक्कर में भटकते रहते हैं।
 🌤 अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें | https://t.co/d0uxXdprNP",['SatlokVsEarth']
13,Vijende91424752,,,266,144,9892,1,"#SatlokVsEarth
🏡 सतलोक में जाने के बाद जीवात्मा का जन्म-मरण हमेशा के लिए समाप्त हो जाता है।
लेकिन सतभक्ति के अभाव में पृथ्वी के प्राणी 84 लाख योनियों के चक्कर में भटकते रहते हैं।
 🌤 अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें | https://t.co/voUEIc1qtQ",['SatlokVsEarth']
14,Chameli2121,,"Hisar, India",213,396,90459,0,"#GodMorningFriday

कबीर जी ने कहा है कि :-
जो जाकि शरणा बसै, ताको ताकी लाज। जल सौंही मछली चढ़ै, बह जाते गजराज।।
जो साधक जिस राम (देव-प्रभु) की भक्ति पूरी श्रद्धा से करता है तो वह राम उस साधक की इज्जत रखता है।
#KabirVani
🤳 Sant Rampal Ji Maharaj Youtube Channel Visit करें । https://t.co/tZjcP3TOjo","['GodMorningFriday', 'KabirVani']"
15,bQFTCyTCS1zk6df,,,8899,18280,28067,3,"#GodMorningFriday 
#सत_भक्ति_सन्देश 

तीन ताप को कौन ठीक कर सकता है?

जानने के लिए अवश्य पढ़ें पवित्र पुस्तक
""ज्ञान गंगा""

Pls visit on sant Rampal Ji Maharaj YouTube channel https://t.co/iA73Jk1PJM","['GodMorningFriday', 'सत_भक्ति_सन्देश']"
16,Vijende91424752,,,266,144,9892,1,"#SatlokVsEarth
🏡सतलोक निरामय लोक है जहाँ वृद्धावस्था व रोग नहीं है।
जबकि पृथ्वी लोक में इन दोनों स्तिथियों से कोई नहीं बचा है।
 🌤 अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें |
#SatlokVsEarth https://t.co/DXhDvJ48lO",['SatlokVsEarth']
17,ShriramPradhan5,Kabir is supreme God,,55,43,5250,2,"#LifeStory_Of_NabiMuhammad
Last Prophet Sant Rampal Ji
बाख़बर के बिना इबादत करना व्यर्थ है
हजरत मुहम्मद जी को संतान रूप में खदीजा जी से तीन पुत्र तथा चार बेटियाँ प्राप्त हुई।
तीनों पुत्र कासिम, तय्यब, ताहिर हजरत मुहम्मद जी की आँखों के सामने मृत्यु को प्राप्त हुए। केवल चार लड़किया https://t.co/y9ePDDSvnR",['LifeStory_Of_NabiMuhammad']
18,Kamlesh66687911,,,213,76,2060,0,"#SatlokVsEarthकाल लोक/पृथ्वी लोक में पांच तत्व का शरीर होता है। 
लेकिन सतलोक में हमारा पांच तत्व का शरीर नहीं होता। वहाँ हमारा नूरी शरीर होता है। जो नश्वर नहीं होता।अधिक जानकारी के लिए Sant Rampal Ji Maharaj YouTube Channel पर Visit करें | https://t.co/lqYEBZXE6i",['SatlokVsEarthकाल']
19,AbhayRa47923613,chakradhar pradhan,,287,379,7901,1,"#SatlokVsEarth
जरा (वृद्धावस्था) व मरण पृथ्वी लोक का अटल सत्य है। इससे कोई जीव नहीं बच सकता।
सतलोक में जाने के बाद ये दोनों कहर पूरी तरह समाप्त हो जाते हैं।
अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें | https://t.co/2NZN7BlHnF",['SatlokVsEarth']
20,Vijende91424752,,,266,144,9892,1,"#SatlokVsEarth
🏡सतलोक निरामय लोक है जहाँ वृद्धावस्था व रोग नहीं है।
जबकि पृथ्वी लोक में इन दोनों स्तिथियों से कोई नहीं बचा है।
 🌤 अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें |
#SatlokVsEarth https://t.co/qhI3vbSTts",['SatlokVsEarth']
21,Vijende91424752,,,266,144,9892,1,"#SatlokVsEarth
🏡काल लोक/पृथ्वी लोक पर प्रत्येक जीव दुःखी है।
सतलोक सुख का सागर है। वहां दुख नाम की कोई चीज़ नहीं। जन्म-मृत्यु नहीं है। बुढ़ापा नहीं है।
अधिक जानकारी के लिए Sant Rampal Ji Maharaj Youtube Channel पर Visit करें | https://t.co/5hq0wz2n6n",['SatlokVsEarth']
