,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,MakkarSanchit,,ratia,353,46,783,25,"#TihariTuTohKhudExposedHai
A befitting reply by the farmers to the BJP's moves to defame the farmers' movement.

#StandWithTikait
#TihariTuTohKhudExposedHai 
#TihariTuTohKhudExposedHai

@MdIjarail18 https://t.co/8fi4W7MJpq",['TihariTuTohKhudExposedHai']
1,PramodK35973667,,,20,17,4865,65,#TikaitExposed by Zee News the most trusted &amp; unbiased part of #GodiMedia. #भारत_बंद_सफल_रहा but Dakait Tihari wants to move attention from #Modi_Ji_Save_Teqip_Faculties and talking about #BharatBandh but in reality #TihariTuTohKhudExposedHai as राकेश टिकैत is a true Leader. https://t.co/ckNFmxPgpt,"['TikaitExposed', 'GodiMedia', 'भारत_बंद_सफल_रहा']"
2,Beinghersoul,Alhamdulillah☺,,16,19,632,0,"I support and stand with Farmers✊👍
Godi Media ka fake propaganda iss mulk k lye bht bada khatra hai.

Sudhar ja re😡 @sudhirchaudhary
#FarmersProtest_StandsStrong
#FarmersProtest
#TihariTuTohKhudExposedHai https://t.co/sh1NZRxiLO","['FarmersProtest_StandsStrong', 'FarmersProtest', 'TihariTuTohKhudExposedHai']"
3,Banwari97046198,,,4,19,4810,472,"RT if you support this hashtag 

 #TihariTuTohKhudExposedHai",['TihariTuTohKhudExposedHai']
4,Banwari97046198,,,4,19,4810,236,"Remember 100 crore and u went to jail 

Anyhow we remember everything 

 #TihariTuTohKhudExposedHai",['TihariTuTohKhudExposedHai']
5,RaviPal40520745,"भारतीय किसान यूनियन जिंदाबाद
नगर संगठन मंत्री मुजफ्फरनगर",,313,295,1125,85,"Retweet fast  #TihariTuTohKhudExposedHai
#RakeshTikait #StandWithTikait https://t.co/T7BVQ8oFee","['TihariTuTohKhudExposedHai', 'RakeshTikait', 'StandWithTikait']"
6,PramodK35973667,,,20,17,4865,472,"RT if you support this hashtag 

 #TihariTuTohKhudExposedHai",['TihariTuTohKhudExposedHai']
7,MakkarSanchit,,ratia,353,46,783,25,"Farmers all over the country with Rakesh Tiket. India is a country of soldiers and farmers. 
@sudhirchaudhary Pet Dog of Government
 #StandWithTikait 
#TihariTuTohKhudExposedHai https://t.co/4xBe3FR3ZF",[]
8,Banwari97046198,,,4,19,4810,1077,"Already exposed 👇
#TihariTuTohKhudExposedHai https://t.co/T3QhOtsVhr",['TihariTuTohKhudExposedHai']
9,MakkarSanchit,,ratia,353,46,783,59,"Zee News Editor @sudhirchaudhary
Has Historical Background Of Murdering Journalism

He Is an Extortionist in the Guise of Journalism 

#TihariTuTohKhudExposedHai https://t.co/DnmC6UZklG",[]
10,SNRizwi,ek Aam Bhartiya Insan.Ghamand Pasand nahi Kabhi Kabhi Karna Parta hai.Bhakt Door rahe zabardasti Taange nahi https://t.co/KB4aEw7czk Party Sahi Kaam Kare us ka Supporter.thnx,Bharat,105,30,1489,976,"Zee News has insulted farmers many times . I request @CHARANJITCHANNI to take zee media off air from punjab till they don’t tender apology to farmers 

 #TihariTuTohKhudExposedHai",[]
11,MakkarSanchit,,ratia,353,46,783,31,"Tikat Ko expose karne chala tha, khud Expose ho gaya. 
India Stands Strong with its Farmers.
We dont need to watch 'Chee News' to decide our opinion.
We are much more intelligent than the Gobar Andh Bhakts #TihariTuTohKhudExposedHai https://t.co/fSv7U1STlx",[]
12,MakkarSanchit,,ratia,353,46,783,45,"Reality of Godi Media
If you support
Retweet Maximus
#StandWithTikait
#TihariTuTohKhudExposedHai https://t.co/AeWdGFtm7S","['StandWithTikait', 'TihariTuTohKhudExposedHai']"
13,MakkarSanchit,,ratia,353,46,783,472,"RT if you support this hashtag 

 #TihariTuTohKhudExposedHai",['TihariTuTohKhudExposedHai']
14,MakkarSanchit,,ratia,353,46,783,1077,"Already exposed 👇
#TihariTuTohKhudExposedHai https://t.co/T3QhOtsVhr",['TihariTuTohKhudExposedHai']
15,ScorpioTazzz,"Our Constitution remains till the end of this WORLD.
AMBEDKARITE
Hater of Fascists,Communal (BJP & RSS)
Hater of Racism",,2415,950,14839,472,"RT if you support this hashtag 

 #TihariTuTohKhudExposedHai",['TihariTuTohKhudExposedHai']
16,dev45627,honest hard worker 😍,,349,89,7431,420,"Zee News is another name for fake news!!

#TihariTuTohKhudExposedHai
#StandWithTikait https://t.co/LZ8pmAG67D","['TihariTuTohKhudExposedHai', 'StandWithTikait']"
