,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,ShajiRaghavanN1,"State President- Bhartiya Janta Party Kisan Morcha, Keralam",,25,24,56,0,Kissan morcha Kottayam Dist. Committee meeting. The formation of Farmers Interested Groups at least in two selected Grama panchayaths of each Mandalam constituency was the main focus #kissanmorcha https://t.co/pzhJ3CQdOx,['kissanmorcha']
1,Minhasrajput28,#RajpootVirodhiRSS/BJP Punjab,Panjab,15,87,6101,0,"@saabchutiyehain @Nitin_Rivaldo @Exsecularkumar kissan law is an internal matter bw kisan and govt,,why u poking noses?",[]
2,rbr6000,Love politics & games. RTs not endorsement and tweet are personal.,India,1771,1448,203748,0,"@_pallavighosh @priyankagandhi It's same type of Jumla which Pappu gave in MP, 10 din me karza maaf of kissan. No one takes Pappu and Pinky seriously.😂🤣",[]
3,Kissan_6217,色々なゲームやってます                                             BF/CoD/GTA/SCUM/WW3...スクショ多め📸,🍊＋♨＝？,157,161,21868,0,スペシャリスト…ウォールハックの効果時間が気になるね,[]
4,Kissan_6217,色々なゲームやってます                                             BF/CoD/GTA/SCUM/WW3...スクショ多め📸,🍊＋♨＝？,157,161,21868,1711,"Meet Rao, Dozer, Sundance, Paik, and Angel.
#Battlefield https://t.co/5xF7kQDOBq",['Battlefield']
5,Kissan_6217,色々なゲームやってます                                             BF/CoD/GTA/SCUM/WW3...スクショ多め📸,🍊＋♨＝？,157,161,21868,0,飴ちゃん持ってくんの忘れた😭🍬,[]
6,menaveen,Sr. Software Developer,"नई दिल्ली, भारत",339,15,1930,0,@Bhaskar36689867 @rajave @MayankY06003794 @MukeshYadavAU @DChaurasia2312 While congressi and Amitabh gets zameen as kissan.,[]
7,harmeetchandla9,Entrepreneur and co-founder Diwan Todaramal TRUST: Sanghi-Mera Dharam sanatan aur panth Sikh.,"Punjab, India",734,711,3285,0,"@AcharyaPramodk 1,2,3,4,5,6,7,8,9 aur daave din har kissan ka karza maaf. Yehi bola tha na papu ne Rajasthan main... Aaj Rajasthan main kisi bhi kisan ko phone kr ke puch lo agar karza aaj tak bhi maaf hua ho to vote paki..",[]
8,Dr_HGandhi,"Scientist | Market Enthusiast | Believer | In 25 Years - India will beat China GDP | 
जय श्री राम🏹 ।",,1898,2055,14018,0,"@RuchiraC 1,2,3,4,5,6,7,8,9,10-----10 din me kissan ka karja maaf - Pappu level promise in Rajasthan before election in 2018.

Now, farmers land grab by congress as they cannot pay loan.

They are waiting for 2023 election, Pappu will loose Rajasthan with max ever margin.",[]
9,Seikkailija69,Hello,,129,5,47,0,@Nakkalajarvi Turpa kiinni kissan kiduttaja paska aivo.,[]
10,Seikkailija69,Hello,,129,5,47,0,@Nakkalajarvi Turpa kiinni kissan kiduttaja paska aivo.,[]
