,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,NarayanSoy8,Jay Sarna,Jharkhand Kuchai,205,93,731,5,"""इधर शाहरूख खान आर्थर रोड जेल आर्यन खान से मिलने गए, उधर एनसीबी टीम के लोग मन्नत पहुंच गए। मैं पूछना चाहता हूं कि NCB की टीम अडानी के घर कितने बार गयी, जिसके मुंद्रा पोर्ट पर से 3000 किलो ड्रग्स पकड़ी गई।"" #istandwithsrk 
          
                 ~ @HansrajMeena",[]
1,martinv17,IIT KGP. They will beat their swords into plowshares and their spears into pruning hooks.  Isaiah 2:4,India,1254,744,150912,260,""" आर्यन खान को 30 अक्टूबर तक रहना होगा जेल में ""...",[]
2,IMRANAL20810412,I am a student &I want to study till,"Patna, India",133,83,873,298,क्या उर्दू नाम की वजह से शाहरुख़ खान और उनके बेटे आर्यन खान को को परेशान किया जा रहा है? पूछता है भारत। #IStandWithSRK,['IStandWithSRK']
3,ramks100,"भारत माता की जय,, राष्ट्रभक्त ,,

RT/Like is not endorsement",भारत ,4934,3484,148950,19,"आज @iamsrk का एक बयान याद आया एक पत्रकार ने कहा हम तीनों खान को एक फिल्म में कब देखेंगे तो शाहरुख ने कहा था आप अफोर्ड करो तो तैयार है फिर कहा बेटा चड्डी बनियान बिक जाएगी आज शाहरुख के चड्डी बनियान सब बिकने के बाद भी आर्यन खान को जेल से निकलवा नहीं पा रहा ये
 ईमानदार सरकार है।",[]
4,itzprakhar,"#राष्ट्र_हित_सर्वोपरि❤️Modi और योगी #हिंदी_प्रेमी किसी से जले वो हम नहीं, लेकिन हमसे जलने वाले कम नहीं। Engineering Student, Followed by @PistolPandey","Bhilai, Chhattisgarh",4965,1921,15758,774,"करण जौहर की प्लानिंग थी अगले साल आर्यन खान और आन्या पांडेय को एकसाथ लांच करने की 

NCB ने इसी साल कर दिया 
🤣😂🤣😂",[]
5,Manovarmansuri1,Hiii,"Nashik, India",763,749,18911,298,क्या उर्दू नाम की वजह से शाहरुख़ खान और उनके बेटे आर्यन खान को को परेशान किया जा रहा है? पूछता है भारत। #IStandWithSRK,['IStandWithSRK']
6,Prateek18425140,1234567,,97,58,576,30,ड्रग्स केस में आर्यन खान कुछ इस तरह फ़स चुका है  😂😂👇 https://t.co/GIwMSnrJYq,[]
7,anandme65,"🍁🍁BJP का समर्थन करना मेरी राजनीति नहीं है! 
 गीता में साफ लिखा है, जो राष्ट्र व धर्म के लिए लड़े उसका साथ जरूर दो! 
🚩 जय  श्री राम 💥मोदी है तो मुमकिन💥🍁",,1156,616,2668,0,"करण जौहर की प्लानिंग थी अगले साल आर्यन खान और आन्या पांडेय को एकसाथ लांच करने की 

NCB ने इसी साल कर दिया 
🤣😂🤣😂",[]
8,ramks100,"भारत माता की जय,, राष्ट्रभक्त ,,

RT/Like is not endorsement",भारत ,4934,3484,148950,41,"आप लोगों ने गौर किया। ।
नशेड़ी आर्यन खान के पक्ष में सारा बॉलीवुड खड़ा हो गया
लेकिन सुशांत राजपूत के साथ या समर्थन में इनमें से कोई नहीं दिखाई दिया 
अब आप खुद ही सोच लो इन नशेड़ियों का क्या इस्तर है।
और यह दुबई में बैठे किसके इशारे पर संचालित हो रहे है ।",[]
9,Manovarmansuri1,Hiii,"Nashik, India",763,749,18911,10,NCB टीम शाहरुख खान के घर मन्नत पहुंचीं अडानी के पोर्ट पर ड्रग्स पकड़ी जाए तो कोई सवाल नही वही आर्यन को शक के आधार पर जेल में ठूंस दिया गया  सच में शाहरुख नाम और रुतबे की कि़मत उनका बेटा चुका रहा ?,[]
10,Ishansh62900996,"मेरा और har एक हिंदुस्तानी का एक hi लक्ष्य होना चाहिए इन अंग्रेजो के तलवे चाटने वालो को सत्ता से बाहर किया जाये ! जय हिन्द 
         (vande matram)",,707,514,35319,11,काश शाहरुख खान ने मोदी के पर्सनल खाते (PM Care Fund) मैं कुछ पैसे डाल दिए होते तो आज आर्यन की Care मोदी सरकार कर रही होती..😉😀,[]
11,anandvinodadvo1,,,281,182,6602,18,आर्यन खान को जमानत नहीं मिली नया एंगल ये है कि आर्यन किसी बड़े सुपरस्टार की बेटी को ड्रग्स सप्लाई करता था,[]
12,Raju1381,Simple . Believe in duty,India,475,139,3761,1738,सरेआम गोडसे की तरह गो’ली चलाओ तो बेल और भाजपा में पद मिलेगा लेकिन साज़िश करके आर्यन खान को फँसा दो तो जेल मिलेगी क्यूँकि वो शाहरुख़ खान का बेटा है। https://t.co/ArqtbffUO7,[]
13,MasterNorb,"Anti-fascist, Doctor, Otaku, Sci-fi Buff, Long-term Amateur Photographer, Politics follower, LOTR & Star Wars fanatic, Hopeless Optimist.",kolkata,206,149,44670,2383,"इधर शाहरूख खान आर्थर रोड जेल आर्यन खान से मिलने गए, उधर एनसीबी टीम के लोग मन्नत पहुंच गए। मैं पूछना चाहता हूं कि NCB की टीम अडानी के घर कितने बार गयी, जिसके मुंद्रा पोर्ट पर से 3000 किलो ड्रग्स पकड़ी गई। #IStandWithSRK",[]
14,Ribhula,Have independent views on issues of national importance. Not attached to any party but hate Congress & AAP.,Nigeria,1092,2532,53533,332,"हाइकोर्ट ने आर्यन खान के जमानत पर तुरंत सुनवाई से इंकार करते हुए 26 अक्टूबर की तारीख दे दिया है।
अब मत कहना कि हाई कोर्ट भी NCB की तरह.....",[]
15,emptyether0,'Nothing in this world happens by chance'.,भारत ,524,118,28224,1144,"#BigBreaking

- आर्यन खान की आपा सुहाना खान का भी ड्रग्स कनेक्शन
- अनन्या पांडेय के साथ ड्रग्स चैट में शाहरुख की बेटी का कनेक्शन

#Suhanakhan #AryanKhan #ShahRukhKhan #AnanyaPandey https://t.co/tH3yLK59jx",['BigBreaking']
16,chaytimenews,"Chay Time News is a news website where you can find news in every category like Politics, Entertainment, B-Town Gossips, Sports & many More.",New Delhi,950,133,50866,0,क्रूज ड्रग्‍स केस : कोर्ट ने 30 अक्टूबर तक बढ़ाई आर्यन खान की न्यायिक हिरासत https://t.co/2BGzwuzHjQ,[]
17,ReformerNews1,Voice of Reality,,2,34,127745,0,क्रूज ड्रग्‍स केस : कोर्ट ने 30 अक्टूबर तक बढ़ाई आर्यन खान की न्यायिक हिरासत https://t.co/xRPSL9yn2l,[]
