,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,JeevanD53683403,Sat sahib,,39,81,21202,44,"#तत्वज्ञान_से_रुकेंगे_बलात्कार
True spiritual knowledge creates a barrier for a devotee and by which the devotee doesn't indulge in ill habits. 
https://t.co/MQ6184WvJ3",['तत्वज्ञान_से_रुकेंगे_बलात्कार']
1,SatbirK14928204,Fuli,,18,19,4040,19,"#तत्वज्ञान_से_रुकेंगे_बलात्कार
घर-घर आध्यात्म की ज्योत जलाओ, बलात्कार जैसे घिनौने अपराध को समाज से दूर भगाओ।
जब घर-घर में पूर्ण संत रामपाल जी महाराज जी के सत्संग चलेंगे, लोग बुराईयों से डरने लगेंगे। https://t.co/HJsSFHAcJZ",['तत्वज्ञान_से_रुकेंगे_बलात्कार']
2,SatbirK14928204,Fuli,,18,19,4040,29,"#तत्वज्ञान_से_रुकेंगे_बलात्कार
यूं तो हमारे देश में बहुत सारे कानून बने हुए हैं इसके बावजूद भी लोगों में कानून का कोई डर नहीं है कारण यह है कि उनके अंदर आसुरी स्वभाव आ गया है इसे केवल तत्वज्ञान से ही खत्म किया जा सकता है। To know more visit our satlok ashram YouTube channel. https://t.co/5V2FVB6EPM",['तत्वज्ञान_से_रुकेंगे_बलात्कार']
3,BabludaasBablu1,Bablu das,,19,10,757,22,"#तत्वज्ञान_से_रुकेंगे_बलात्कार
मानवसमाज में वर्तमान मेंहोरहे बलात्कार, यौनउत्पीड़न केअपराधों तथाचोरी-डाके, भ्रष्टाचारके अपराधोंको समूल समाप्तकरने का एकमात्र विकल्प पूर्णसंत रामपालजी महाराज जीके सत्संगविचार तथाउनके अनुयाईयोंका शिष्टव्यवहार तथा शालीनताको मानवसमाज के सामनेपरोसना है। https://t.co/XDgWZxuTbI",['तत्वज्ञान_से_रुकेंगे_बलात्कार']
4,Vijayku07250603,,,800,448,9531,7,"घर-घर आध्यात्म की ज्योत जलाओ, बलात्कार जैसे घिनौने अपराध को समाज से दूर भगाओ।
जब घर-घर में पूर्ण संत रामपाल जी महाराज जी के सत्संग चलेंगे, लोग बुराईयों से डरने लगेंगे।
पूर्ण संत रामपाल जी महाराज जी अपने सत्संग में बताते हैं कि पराई स्त्री को 
#तत्वज्ञान_से_रुकेंगे_बलात्कार https://t.co/cvRRVfVlp3",[]
5,AshokDa09601003,,,165,184,44410,137,"कैसे रुकेंगे अपराध?
तत्वज्ञान हो जाने से व्यक्ति को भगवान का डर बनेगा, जिस कारण वह गलत कार्य नहीं कर सकता। उसके लिए पूर्ण @SaintRampalJiM से दीक्षा लेकर मर्यादा में रहकर भक्ति करनी होती है।
#तत्वज्ञान_से_रुकेंगे_बलात्कार https://t.co/APhZxSzqz3",[]
6,Rajkuma25815254,Kabir is God,,358,1341,13886,22,"#तत्वज्ञान_से_रुकेंगे_बलात्कार
मानवसमाज में वर्तमान मेंहोरहे बलात्कार, यौनउत्पीड़न केअपराधों तथाचोरी-डाके, भ्रष्टाचारके अपराधोंको समूल समाप्तकरने का एकमात्र विकल्प पूर्णसंत रामपालजी महाराज जीके सत्संगविचार तथाउनके अनुयाईयोंका शिष्टव्यवहार तथा शालीनताको मानवसमाज के सामनेपरोसना है। https://t.co/XDgWZxuTbI",['तत्वज्ञान_से_रुकेंगे_बलात्कार']
7,BhawnaS51226474,Kabir is real God 🙏🙏🙏,"Ambala, India",15,33,2985,22,"#तत्वज्ञान_से_रुकेंगे_बलात्कार
मानवसमाज में वर्तमान मेंहोरहे बलात्कार, यौनउत्पीड़न केअपराधों तथाचोरी-डाके, भ्रष्टाचारके अपराधोंको समूल समाप्तकरने का एकमात्र विकल्प पूर्णसंत रामपालजी महाराज जीके सत्संगविचार तथाउनके अनुयाईयोंका शिष्टव्यवहार तथा शालीनताको मानवसमाज के सामनेपरोसना है। https://t.co/XDgWZxuTbI",['तत्वज्ञान_से_रुकेंगे_बलात्कार']
8,SonuVer83684102,sat saheb 👏,"Ambala, India",2563,1442,21530,22,"#तत्वज्ञान_से_रुकेंगे_बलात्कार
मानवसमाज में वर्तमान मेंहोरहे बलात्कार, यौनउत्पीड़न केअपराधों तथाचोरी-डाके, भ्रष्टाचारके अपराधोंको समूल समाप्तकरने का एकमात्र विकल्प पूर्णसंत रामपालजी महाराज जीके सत्संगविचार तथाउनके अनुयाईयोंका शिष्टव्यवहार तथा शालीनताको मानवसमाज के सामनेपरोसना है। https://t.co/XDgWZxuTbI",['तत्वज्ञान_से_रुकेंगे_बलात्कार']
9,Pardeep85730666,■Haryanvi■,"Panchkula, Haryana",55,320,67831,22,"#तत्वज्ञान_से_रुकेंगे_बलात्कार
मानवसमाज में वर्तमान मेंहोरहे बलात्कार, यौनउत्पीड़न केअपराधों तथाचोरी-डाके, भ्रष्टाचारके अपराधोंको समूल समाप्तकरने का एकमात्र विकल्प पूर्णसंत रामपालजी महाराज जीके सत्संगविचार तथाउनके अनुयाईयोंका शिष्टव्यवहार तथा शालीनताको मानवसमाज के सामनेपरोसना है। https://t.co/XDgWZxuTbI",['तत्वज्ञान_से_रुकेंगे_बलात्कार']
