,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Alish96780894,,,200,111,27925,0,"🤲हे #MSG जी, 🙏 
आपजी से अरदास है कि हमारे #MSG जी संत डाॅ गुरमीत राम रहीम सिंह जी इन्सा हमारे गुरु हम सब के बीच देह रुप में जल्दी से जल्दी आयें जी, और हमें अरबों गुणा खुशियाँ बक्शेजी। https://t.co/0m4Nj4Zh7z","['MSG', 'MSG']"
1,KKKundu4,,,12,2,160,20,"अपनी सेहत व फिटनेस का ख्याल रखने के लिए मेडिटेशन, प्राणायाम, व्यायाम और स्वस्थ भोजन को अपनी दिनचर्या में जरूर शामिल करें।संत डॉ गुरमीत राम रहीम सिंह जी के इन टिप्स को अपनाकर करोड़ों लोग स्वस्थ निरोग जीवन जी रहे हैं। #ChooseToBeHealthy https://t.co/xl6Lj9Uop3",[]
2,4920_bullet,ਨੇੜੇ ਨਹੀਂ ਮਿਲਦੀ..... ਮਿਲਦੀ ਏ ਬੀਕਾਨੇਰ ਤੋਂ,,2178,1368,37468,326,डेरा सच्चा सौदा के बाबा राम रहीम को सीबीआई की विशेष अदालत ने उम्रकैद की सजा सुनाई है ।,[]
3,Subhash__N,"(अनपढ़ ) 🙏 इंसान को यूज करने वाले फोलो ना करें             🙏बिल्कुल ना करें🙏https://t.co/Za5FKZuu1A
https://t.co/MeHqoZxj3U",,1458,1421,12065,39,बाबा राम रहीम और उनके चार सहयोगियों को रणजीत सिंह हत्याकांड में पंचकूला सीबीआई कोर्ट ने सुनाई उम्र कैद की सजा l,[]
4,Varsha41292842,,,24,66,2404,122,"Being a socio-welfare organisation, Dera Sacha Sauda has initiated a whole of 135 humanitarian deeds under the guidance of Saint Dr. Gurmeet राम रहीम Singh Ji Insan, Blood Donation is one of them.
#IstandWithSaintRamRahim https://t.co/pjnVKT4wNQ",[]
5,mushtaqidreesi9,,,3237,2227,1534,3,"अंधभक्तों को करीना कपूर के बेटे  ""तैमूर"" के नाम से दिक्कत है

अंधभक्तों तुम भी अपने बच्चों का नाम राम रहीम, आसाराम, चिन्मयानंद रख कर करीना से बदला ले लो !!🤣
@AzeemKhan99999 
@OsamaShaikhIND 
@NargisKhan007 
@rushnanoor143 
@Mahii_writes 
@MohammadFahim78 
@ziaahmedkhan",[]
6,Raju14011610,,,49,645,42584,27,"संत गुरमीत राम रहीम सिंह जी इंसा जी की पवित्र प्रेरणा से डेरा अनुयाई हफ्ते में एक दिन उपवास रखते है और उस दिन का खाना जरूरतमंद लोगों को डोनेट करते है।
@Gurmeetramrahim 
@DSSNewsUpdates https://t.co/RNxHyOaHqb",[]
7,PremKumINC,"Farmers Son💟  Jai Jawan Jai Kisan💪#किसान_ही_मेरा_भगवान_है 🏞️Kisan ekta Jindabad✌️✌️
💪💪
@INCRajashthan Sri Ganganagar",,1230,1111,4983,7,"अंधभक्तों को करीना कपूर के बेटे  ""तैमूर"" के नाम से दिक्कत है

अंधभक्तों तुम भी अपने बच्चों का नाम राम रहीम, आसाराम, चिन्मयानंद रख कर करीना से बदला ले लो !!🤣",[]
8,Mohammad__IND,Muslim Activist | 🗣Voice Raiser Against Injustice | @YouthKiAwaaz | @TheCognate_ | @milligazette |,Palanpur Gujrat India,160,1412,1956,7,"अंधभक्तों को करीना कपूर के बेटे  ""तैमूर"" के नाम से दिक्कत है

अंधभक्तों तुम भी अपने बच्चों का नाम राम रहीम, आसाराम, चिन्मयानंद रख कर करीना से बदला ले लो !!🤣",[]
9,mangilalg27,"I am a advocate, I talk tru only","Rajasthan, India",92,19,466,0,"@YogiDevnath2 तू कोनसा दुध का धुला है। राम  रहीम,आशाराम को जनता नही भूली है।तुझे क्या स्वार्थ है ये बता...महिलाओं पर जितना जुर्म तुम जैसे बाबाओं ने किया उतना भारतीय इतिहास में किसी ने नहीं किया है।प्रियंका ने महिलाओं के लिए आवाज़ उठाई तो डरकर ट्वीटर पर आ गया कमेंट करने..बचेगा नही धोगी तू भी..",[]
10,Life_Time_786,,,757,771,4570,7,"अंधभक्तों को करीना कपूर के बेटे  ""तैमूर"" के नाम से दिक्कत है

अंधभक्तों तुम भी अपने बच्चों का नाम राम रहीम, आसाराम, चिन्मयानंद रख कर करीना से बदला ले लो !!🤣",[]
11,YogeshS44179606,,,1317,1256,87022,45,"ताजमहल_पुराना हो गया*
*अब हम पर्यटकों को*
 
राम_रहीम_की_गुफा* *दिखाएंगे!!*

*प्यार की निशानी 😂😂😂",[]
12,funky_pma7,""" मै किसी पार्टी के सदस्य नही हूँ , इश्क-ए-BPSC",UPSC टॉपर नगरी  BIHAR . INDIA,527,523,8716,7,"अंधभक्तों को करीना कपूर के बेटे  ""तैमूर"" के नाम से दिक्कत है

अंधभक्तों तुम भी अपने बच्चों का नाम राम रहीम, आसाराम, चिन्मयानंद रख कर करीना से बदला ले लो !!🤣",[]
13,mnarsiram76,,Rural,1861,2162,66509,11,"योगी, रामदेव, चिन्मयानंद, आशाराम, राम रहीम, राम कृपाल आदि भगवाइयों के कारण बाबा साधु संत नाम से ही नफरत हो गई है। भगवाधारियों को देखकर पता ही नही चलता कि भगवा के अंदर भगवान का प्रतिनिधि है या चोर डकैत बलात्कारी खूनी ढोंगी पाखंडी व जाहिल है।",[]
