,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,MohitGu16622514,,,127,135,9039,228,"पवन खटाना,ख़ालिस्तान भिंडरावाले की चाटुकारिता नहीं करता,SC की चाटुकारिता करूंगा जिसने कहा इनको हटाओ!

@AmanChopra_ जी, ये फर्जी किसान खटाना कांग्रेस के नेता की तरह भाषणबाजी कर रहा हैं,रेल बेच दी एयरपोर्ट बेच दिया,अडानी अंबानी ये पक्का राहुल गांधी का भक्त हैं! https://t.co/bh88mHI44l",[]
1,Ashoksahu0,"Politician
(भाजपा महाजन मंडल आई टी सेल संयोजक)
....... official account.....
💯% follow back....🚩Unfollow:- Unfollow #फैन_भगतसिंह_दा","Rajasthan, India",1137,925,1313,1725,बड़ी मुश्किल से यह फ़ोटो मिली है इंदिरा की लाश के सामने राहुल और राजीव गाँधी कलमा पढ़ रहे हैं फिर भी हमारे देशवासियों को लगता है कि ये हिन्दू हैं । https://t.co/YIS0rSqtpJ,[]
2,Rakesh06555629,.,,3,0,1,1725,बड़ी मुश्किल से यह फ़ोटो मिली है इंदिरा की लाश के सामने राहुल और राजीव गाँधी कलमा पढ़ रहे हैं फिर भी हमारे देशवासियों को लगता है कि ये हिन्दू हैं । https://t.co/YIS0rSqtpJ,[]
3,ashishk98106955,NEED A CHANCE TO OPEN MY WING AND FLY HIGH.,BADARPUR NEW DELHI INDIA,330,132,22811,1725,बड़ी मुश्किल से यह फ़ोटो मिली है इंदिरा की लाश के सामने राहुल और राजीव गाँधी कलमा पढ़ रहे हैं फिर भी हमारे देशवासियों को लगता है कि ये हिन्दू हैं । https://t.co/YIS0rSqtpJ,[]
4,bhardwaj_DPCC,"Ex-@INCIndia Candidate for Ward No.-50, Peeragarhi; Ex-Secretary at @DelhiPYC; Ex-Vidhan Sabha President Nangloi Jat; Views=Personal; RT nt Endorsement.","New Delhi, India",1403,2474,40236,16,"70 दिन,70 विधानसभा,700 किलोमीटर,272 वार्ड में राहुल गाँधी जी के सिपाही दिल्ली कांग्रेस के अध्यक्ष चो अनिल कुमार  जी की #पोलखोल_यात्रा 
जिसमें केजरीवाल के 7साल और भाजपा शासित निगम के15सालों की नाकामियों की पोल खोलेंगे।आप भी शामिल हो 25अक्टूबर से ताकि बदहाल दिल्ली को फिर संवारा जाए https://t.co/dhciaL2hhd",[]
5,Deveshk14592864,Just ok,,58,19,1228,1725,बड़ी मुश्किल से यह फ़ोटो मिली है इंदिरा की लाश के सामने राहुल और राजीव गाँधी कलमा पढ़ रहे हैं फिर भी हमारे देशवासियों को लगता है कि ये हिन्दू हैं । https://t.co/YIS0rSqtpJ,[]
6,Prakash32326436,"किसी के दर्द का दवा बनो, ज़ख़्म तो हर कोई दे देता हैं।","Raipur, India",13,1,34,1725,बड़ी मुश्किल से यह फ़ोटो मिली है इंदिरा की लाश के सामने राहुल और राजीव गाँधी कलमा पढ़ रहे हैं फिर भी हमारे देशवासियों को लगता है कि ये हिन्दू हैं । https://t.co/YIS0rSqtpJ,[]
7,AjayBha62079343,"Myself Ajay Bhardwaj
I love teaching
It's my profession
I love my country very much
India is the best country and I am proud to be a Hindu
The ever best region.",,32,2,68,1725,बड़ी मुश्किल से यह फ़ोटो मिली है इंदिरा की लाश के सामने राहुल और राजीव गाँधी कलमा पढ़ रहे हैं फिर भी हमारे देशवासियों को लगता है कि ये हिन्दू हैं । https://t.co/YIS0rSqtpJ,[]
8,Deepy49918660,,,638,200,3677,187,"सिर्फ लाल टी-शर्ट वाले बच्चे को देखते रहिये,आपको राहुल गाँधी की याद आ जायेगी।
😍😍😍😍😍 https://t.co/ct73sKMjIc",[]
9,swatimehak,महादेव 🙏😍🚩,,1017,12806,194158,28,"मुझे डर है कि खुद को ज्यादा बड़ा हिंदू साबित करने के लिये राहुल गांधी कहीं करवाचौथ का व्रत ना रख लें...

😂😂🙈🙈😜",[]
