,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Rubal96676490,Recognise the whole Human Race as one                                                          ਮਾਨਸ ਕੀ ਜਾਤਿ ਸਬੈ ਏਕੈ ਪਹਿਚਾਨਬੋ 🙏,India,38,9,1046,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
1,YP56inches,,,1623,679,96505,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
2,AhshanChaudhary,💯%Follow back,,484,382,6847,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
3,bhavin46584658,,,41,146,70886,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
4,BhaweshThakur90,Director of Anglo Indian Public School and studied RECM from Tilka Manjhi University Bhagalpur,,202,8,349,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
5,Pravint105914,जय श्री राम,,1840,1351,46666,7,"गोधरा में भी कांग्रेस और सेकुलर आपके लिए बोले थे क्या।
ना लखीमपुर, न सिन्धु बॉर्डर, न कश्मीर, न बंगाल।
फिर भी आपकी आंखे नहीं खुली। गिद्दो को नहीं पहचाना तो नोंचे ही जाओगे। https://t.co/I7TBdrCnzV",[]
6,Ray_Amit_55,कोंग्रेस मुक्त भारत और देश सबसे पहले 👍,,48,94,8256,193,"यूपी में एक वाल्मीकि परिवार के युवक की कस्टडी में हुई मौत पर प्रियंका गांधी उसके परिजनों से मिली
ठीक है अच्छी बात है
मगर
अभी तक

सिंधु बॉर्डर पर मारे गए द्लित भाई के घर पर
न
कोई भी नेता गया
नहींं कोई
ज्ञान देने वाले लिबरल
और न किसी ने मुआवजा माँगा
क्या कारण
सोचने वाली बात है",[]
7,ShandilyaAjit19,"वन्दे मातरम्🚩🚩🚩

RT का अर्थ केवल सहमति नहीं।

मेरे ट्वीट्स  Likes में ...","मोकामा, बिहार",1081,4845,224197,193,"यूपी में एक वाल्मीकि परिवार के युवक की कस्टडी में हुई मौत पर प्रियंका गांधी उसके परिजनों से मिली
ठीक है अच्छी बात है
मगर
अभी तक

सिंधु बॉर्डर पर मारे गए द्लित भाई के घर पर
न
कोई भी नेता गया
नहींं कोई
ज्ञान देने वाले लिबरल
और न किसी ने मुआवजा माँगा
क्या कारण
सोचने वाली बात है",[]
8,Sushant18730592,,,820,64,364,1,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
9,janata37028985,,,100,2,52,0,"@vinodkapri @Abhishek24_BOB ये शेर है, इसलिए स्वागत  हुआ,हाँ सिंधु  बॉर्डर  पर  दलित को मार  कर लटकाने वाले  का  भी  निहंगो ने  स्वागत  किया  इस पर कुछ  क्यों नहीं बोलते,  जुबान  पर  लकवा  मार  गया,  दोगले  हो  तुम लोग ,जमीर बेच  खाया  क्या?",[]
10,Ashvani_ykumar,मेरा भारत महान,India,107,120,8816,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
11,farhath_hussain,My heart bleeds for the condition of the suppressed in the world.,,210,39,3447,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
12,somanath553,,"Waraseoni, India",244,36,2032,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
13,satyamy949,"Graduate from university of allahabad


 Education is the most powerful weapon 📚
special educator..","Hamirpur, Up",39,41,3080,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
14,TruePatriot194,Political analyst.   #धर्मो_रक्षतीः_रक्षित:🚩,India,761,727,26127,37,"गोधरा में भी कांग्रेस और सेकुलर आपके लिए बोले थे क्या।
ना लखीमपुर, न सिन्धु बॉर्डर, न कश्मीर, न बंगाल।
फिर भी आपकी आंखे नहीं खुली। गिद्दो को नहीं पहचानते तो नोंचे ही जाओगे। https://t.co/mNMQHJHw0u",[]
15,SurajPa52605589,Politics in BJP and Social work,"Delhi, India",2515,963,41405,3,"सिंधु बॉर्डर पर हुई पंजाब केसरी युवक की हत्या का मामला l
@adeshguptabjp @vinitgoenka 
@rajeshbhatiabjp @nstomar https://t.co/tV6KPk5YAq",[]
16,sultan_ansari,किसी को कुछ कहने से पहले अपने अन्दर झाँक ले फिर दूसरे को सलाह दे (Ansari) . India Uttar pardesh locknow,Ha'il saudi arabia. Live ,806,425,4051,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
17,narenderjatt,जय हिंद,"New Delhi, India",194,448,124861,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
18,AbsarAl48623555,|Opportunities don't happen. You create them.|,|Bihar|Patna|India|🇮🇳,629,73,4097,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
19,MohitDeos,"“मिट्टी का तन , मस्ती का मन , क्षण भर जीवन  - मेरा परिचय”",,108,6,294,1262,"प्रियंका वाड्रा जी ने नया नारा दिया 
लड़की हूँ लड़ सकती हूँ 
हर रोज़ राजस्थान में माँ-बहन-बेटियों के साथ रेप हो रहे हैं…सिंधु बॉर्डर पर दलित की निर्मम हत्या हुई पर मैडम के मुँह से एक शब्द नहीं निकला

@priyankagandhi मैडम आप लड़की बनके तभी लड़ोगे जब UP में कुछ होगा 
#Hypocrites https://t.co/QdSPifCxnJ",[]
20,generationyou11,"फाॅलोवर नहीं, राष्ट्रभक्तों की एकता चाहिये।
क्युंकि जयचन्दों की कमी नहीं, हमारे भारत देश मे।",India,2358,722,4410,37,"गोधरा में भी कांग्रेस और सेकुलर आपके लिए बोले थे क्या।
ना लखीमपुर, न सिन्धु बॉर्डर, न कश्मीर, न बंगाल।
फिर भी आपकी आंखे नहीं खुली। गिद्दो को नहीं पहचानते तो नोंचे ही जाओगे। https://t.co/mNMQHJHw0u",[]
21,SatishYadavUP,All India Railway Act Apprentice Association (Uttar Pradesh) official Account @AIRAAAUP,India,377,1257,52884,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
22,Deepak_sri_aap,"कुछ लोग कम हुए अपनों की 
फेहरिस्त से
मन फिर भी निराश नही ,भले गलत कहे जमाना,मेरी खतां इतनी की मै गलत के साथ नही
#दी_प_क","बहराइच, उत्तर प्रदेश",1288,2116,76128,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
23,NidhiArora13579,"Just a commoner, but observer.  Change is the only permanent thing.",,292,60,10484,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
24,NrupTandel,धर्मों रक्षति रक्षित,,747,160,66710,1652,"मैडम आप
-सिंधु बॉर्डर पर मारे गये दलित के घर कब जा रही हैं ?
-राजस्थान में रोज़ हो रहे बलात्कार से पीड़ित बहनों से मिलने कब जाओगी ?
-1984 में कांग्रेस के द्वारा मारे गए हज़ारों सिख भाई-बहनों के परिवार वालों से क्या इस ज़िंदगी में कभी मिलोगे ?
कोई रोक रहा है आपको वहाँ जाने से ? https://t.co/gD2wevrlZ1",[]
25,jainanil1968,indian at ❤,"Indiana, USA",1854,2453,626223,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
26,SunilKu68849256,"कट्टर हिन्दू, सत्य सनातन राष्ट्रवादी भजपा समर्थक ही फॉलो करें कांग्रेसी, बामपंथी, कटुए हमारे ID से दूर रहे।",kuwait,4105,5493,142771,37,"गोधरा में भी कांग्रेस और सेकुलर आपके लिए बोले थे क्या।
ना लखीमपुर, न सिन्धु बॉर्डर, न कश्मीर, न बंगाल।
फिर भी आपकी आंखे नहीं खुली। गिद्दो को नहीं पहचानते तो नोंचे ही जाओगे। https://t.co/mNMQHJHw0u",[]
27,abuusamakot786,,"Haryana, India",227,28,458,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
28,Golden_Seagul,"If you identify with a political side, you've already lost.",India,396,1496,428992,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
29,Munish7890,A snatani,,56,101,9804,11,"*सभी विपक्षी पार्टियां, मीडिया चैनल और सुप्रीम कोठे के मियां लॉर्ड हाथरस कांड पर तो नंगा नाच कर रहे थे, भौं भौं कर रहे थे कि रात को जला दिया। जब पंजाब में सिंधु बॉर्डर पर तड़पा तड़पा कर मारे गए दलित को ईसाई CM चन्नी ने रात के अंधेरे में पेट्रोल डाल कर जला दिया*सबके मुंह सिल गए* https://t.co/3Hbk0zs3oT",[]
30,rakeshkant100,Chokidaar,"Ajmer, India",253,41,1816,592,"का-नून अंधा होता है??

जन्माष्टमी के दही हांड़ी और दीपावली के पटाखों पर स्वतः संज्ञान और ईद की कुर्बानी तथा ईसाई नववर्ष के पटाखों पर मौन, लखीमपुर मामले का स्वतः संज्ञान तथा सिंधु बॉर्डर और छत्तीसगढ़ जशपुर मामले पर मौन??

का-नून अंधा नहीं, हरा और भगवा रंग बखूबी देखता और पहचानता है",[]
31,DrSandeepKr66,,,232,124,42244,410,"संयुक्त किसान मोर्चा सिंधु बॉर्डर पर 15 अक्टूबर को हुई घटना की पुरजोर निंदा करता है। अब तक जो सबूत देश के सामने आए हैं उससे यह स्पष्ट है कि यह घटना अनायास नहीं हुई, इसके पीछे मोर्चे को बदनाम करने और इसे हिंसा में उलझाने के एक बड़े षडयंत्र का हिस्सा है।",[]
32,YogeshS44179606,,,1317,1256,87023,193,"यूपी में एक वाल्मीकि परिवार के युवक की कस्टडी में हुई मौत पर प्रियंका गांधी उसके परिजनों से मिली
ठीक है अच्छी बात है
मगर
अभी तक

सिंधु बॉर्डर पर मारे गए द्लित भाई के घर पर
न
कोई भी नेता गया
नहींं कोई
ज्ञान देने वाले लिबरल
और न किसी ने मुआवजा माँगा
क्या कारण
सोचने वाली बात है",[]
